Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
アルカンタラ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
青柳　晃洋,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
糸井　嘉男,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
伊藤　将司,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
糸原　健斗,2,9,7,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,.143,.143,.333,Hanshin Tigers,
岩崎　優,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
植田　海,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
梅野　隆太郎,1,4,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,.250,.500,.250,Hanshin Tigers,
大山　悠輔,2,6,4,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,.250,.250,.500,Hanshin Tigers,
及川　雅貴,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
木浪　聖也,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
熊谷　敬宥,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
小林　慶祐,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
齋藤　友貴哉,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
坂本　誠志郎,2,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,.333,.333,.500,Hanshin Tigers,
佐藤　輝明,2,5,4,1,1,1,0,0,2,1,0,0,0,0,1,0,0,1,0,.250,.500,.400,Hanshin Tigers,
島田　海吏,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.250,.250,.250,Hanshin Tigers,
スアレス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
髙橋　遥人,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
近本　光司,2,9,8,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,.250,.250,.333,Hanshin Tigers,
中野　拓夢,2,9,8,0,3,1,0,0,4,1,0,0,0,0,1,0,0,2,0,.375,.500,.444,Hanshin Tigers,
馬場　皐輔,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
原口　文仁,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
マルテ,2,9,9,0,2,0,0,0,2,0,0,1,0,0,0,0,0,2,0,.222,.222,.222,Hanshin Tigers,
山本　泰寛,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,Hanshin Tigers,
ロハス・ジュニア,2,9,8,0,2,1,0,0,3,0,0,0,0,0,1,0,0,1,0,.250,.375,.333,Hanshin Tigers,
ウィーラー,2,8,6,0,2,1,0,0,3,4,0,0,1,1,0,0,0,0,0,.333,.500,.286,Yomiuri Giants,
大城　卓三,2,5,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,.400,.400,.400,Yomiuri Giants,
鍵谷　陽平,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
亀井　善行,1,4,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,.000,.333,Yomiuri Giants,
小林　誠司,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,Yomiuri Giants,
坂本　勇人,2,8,8,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,.125,.125,.125,Yomiuri Giants,
菅野　智之,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Yomiuri Giants,
高木　京介,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
高梨　雄平,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
髙橋　優貴,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
立岡　宗一郎,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
デラロサ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
戸郷　翔征,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Yomiuri Giants,
中川　皓太,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
中島　宏之,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.250,.250,.250,Yomiuri Giants,
中田　翔,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
畠　世周,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
ビエイラ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
廣岡　大志,2,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,.250,.250,.250,Yomiuri Giants,
松原　聖弥,2,9,8,2,3,1,0,0,4,1,0,0,0,0,1,0,0,1,0,.375,.500,.444,Yomiuri Giants,
丸　佳浩,2,8,6,2,3,0,0,0,3,2,0,0,0,0,2,0,0,0,0,.500,.500,.625,Yomiuri Giants,
八百板　卓丸,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,Yomiuri Giants,
吉川　尚輝,2,8,8,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,.250,.250,.250,Yomiuri Giants,
若林　晃弘,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
浅村　栄斗,2,10,8,1,1,0,0,0,1,0,0,0,0,0,2,0,0,3,0,.125,.125,.300,Rakuten Eagles,
安樂　智大,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Rakuten Eagles,
太田　光,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Rakuten Eagles,
岡島　豪郎,2,10,9,1,3,2,0,0,5,0,0,0,0,0,1,0,0,2,0,.333,.556,.400,Rakuten Eagles,
小郷　裕哉,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Rakuten Eagles,
岸　孝之,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Rakuten Eagles,
銀次,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Rakuten Eagles,
小深田　大翔,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Rakuten Eagles,
酒居　知史,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Rakuten Eagles,
島内　宏明,2,10,8,1,4,2,0,0,6,4,0,0,0,0,2,0,0,2,0,.500,.750,.600,Rakuten Eagles,
鈴木　大地,2,8,8,1,2,1,0,0,3,0,0,0,0,0,0,0,0,1,0,.250,.375,.250,Rakuten Eagles,
炭谷　銀仁朗,2,5,4,2,2,0,0,1,5,2,0,0,0,0,1,0,0,0,0,.500,1.250,.600,Rakuten Eagles,
宋　家豪,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Rakuten Eagles,
辰己　涼介,2,7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,.000,.000,.143,Rakuten Eagles,
田中　和基,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Rakuten Eagles,
西口　直人,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Rakuten Eagles,
