Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
アルカンタラ,1,0,0,0,0,0,0,.000,6,2,,0,0,0,0,0,0,0,0,0,0,0.00,Hanshin Tigers,
青柳　晃洋,1,0,1,0,0,0,0,.000,13,2,.2,5,0,0,0,0,1,0,0,3,0,0.00,Hanshin Tigers,
伊藤　将司,1,0,0,0,0,0,0,.000,6,1,.1,1,0,1,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
岩崎　優,1,0,0,0,0,0,0,.000,7,1,.1,1,0,1,0,0,1,0,0,1,0,0.00,Hanshin Tigers,
及川　雅貴,1,0,0,0,0,0,0,.000,5,0,.2,2,0,1,0,0,0,0,0,1,1,13.50,Hanshin Tigers,
小林　慶祐,1,0,0,0,0,0,0,.000,1,0,.1,0,0,0,0,0,0,1,0,0,0,0.00,Hanshin Tigers,
齋藤　友貴哉,1,0,0,0,0,0,0,.000,3,1,,1,0,0,0,0,0,0,0,0,0,0.00,Hanshin Tigers,
スアレス,1,0,0,0,0,0,0,.000,5,1,.2,0,0,0,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
髙橋　遥人,1,0,1,0,0,0,0,.000,24,6,,6,0,1,0,0,5,0,0,3,3,4.50,Hanshin Tigers,
馬場　皐輔,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
鍵谷　陽平,1,0,0,0,0,0,0,.000,1,0,.1,0,0,0,0,0,0,0,0,0,0,0.00,Yomiuri Giants,
菅野　智之,1,1,0,0,0,0,0,1.000,24,7,,2,0,1,0,1,4,0,0,0,0,0.00,Yomiuri Giants,
高木　京介,1,1,0,0,0,0,0,1.000,2,0,.1,1,0,0,0,0,0,0,0,0,0,0.00,Yomiuri Giants,
高梨　雄平,1,0,0,0,0,0,0,.000,5,0,.2,1,0,2,0,0,0,0,0,0,0,0.00,Yomiuri Giants,
髙橋　優貴,1,0,0,0,0,0,0,.000,10,1,.2,5,0,0,0,0,3,1,0,2,2,10.80,Yomiuri Giants,
デラロサ,2,0,0,0,0,0,0,.000,8,2,,2,0,0,0,0,1,0,0,0,0,0.00,Yomiuri Giants,
戸郷　翔征,1,0,0,0,0,0,0,.000,13,3,,3,0,2,0,0,1,0,0,0,0,0.00,Yomiuri Giants,
中川　皓太,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,0,0,0,0,0,0.00,Yomiuri Giants,
畠　世周,1,0,0,1,0,0,0,.000,1,0,.1,0,0,0,0,0,0,0,0,0,0,0.00,Yomiuri Giants,
ビエイラ,2,0,0,1,0,0,0,.000,10,1,.2,2,0,3,0,0,3,0,0,0,0,0.00,Yomiuri Giants,
安樂　智大,2,0,0,0,0,0,0,.000,7,2,,2,1,0,0,0,2,0,0,1,1,4.50,Rakuten Eagles,
岸　孝之,1,0,0,0,0,0,0,.000,22,5,,6,0,2,1,0,5,0,0,2,2,3.60,Rakuten Eagles,
酒居　知史,2,0,0,0,0,0,0,.000,7,2,,1,1,0,0,0,4,0,0,1,1,4.50,Rakuten Eagles,
宋　家豪,1,0,1,0,0,0,0,.000,3,0,.1,1,0,0,0,1,0,0,0,1,1,27.00,Rakuten Eagles,
西口　直人,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,Rakuten Eagles,
