jp_name,jp_team,en_name,en_team
髙 太一,広島東洋カープ,"Taka, Taichi",Hiroshima Carp
黒原 拓未,広島東洋カープ,"Kurohara, Takumi",Hiroshima Carp
益田 武尚,広島東洋カープ,"Masuda, Takehisa",Hiroshima Carp
床田 寛樹,広島東洋カープ,"Tokoda, Hiroki",Hiroshima Carp
ケムナ 誠,広島東洋カープ,"Kemna, Makoto",Hiroshima Carp
滝田 一希,広島東洋カープ,"Takita, Kazuki",Hiroshima Carp
高橋 昂也,広島東洋カープ,"Takahashi, Kouya",Hiroshima Carp
赤塚 健利,広島東洋カープ,"Akatsuka, Kento",Hiroshima Carp
塹江 敦哉,広島東洋カープ,"Horie, Atsuya",Hiroshima Carp
長谷部 銀次,広島東洋カープ,"Hasebe, Ginji",Hiroshima Carp
矢崎 拓也,広島東洋カープ,"Yasaki, Takuya",Hiroshima Carp
ハッチ,広島東洋カープ,"Hatch, Thomas",Hiroshima Carp
島内 颯太郎,広島東洋カープ,"Shimauchi, Sotaro",Hiroshima Carp
松本 竜也,広島東洋カープ,"Matsumoto, Ryuya",Hiroshima Carp
河野 佳,広島東洋カープ,"Kawano, Kei",Hiroshima Carp
斉藤 優汰,広島東洋カープ,"Saitoh, Yuta",Hiroshima Carp
アドゥワ 誠,広島東洋カープ,"Aduwa, Makoto",Hiroshima Carp
戸根 千明,広島東洋カープ,"Tone, Chiaki",Hiroshima Carp
小林 樹斗,広島東洋カープ,"Kobayashi, Tatsuto",Hiroshima Carp
玉村 昇悟,広島東洋カープ,"Tamamura, Shogo",Hiroshima Carp
遠藤 淳志,広島東洋カープ,"Endoh, Atsushi",Hiroshima Carp
内間 拓馬,広島東洋カープ,"Uchima, Takuma",Hiroshima Carp
ハーン,広島東洋カープ,"Hearn, Taylor",Hiroshima Carp
日髙 暖己,広島東洋カープ,"Hidaka, Atsumi",Hiroshima Carp
岡田 明丈,広島東洋カープ,"Okada, Akitake",Hiroshima Carp
コルニエル,広島東洋カープ,"Corniel, Robert",Hiroshima Carp
會澤 翼,広島東洋カープ,"Aizawa, Tsubasa",Hiroshima Carp
坂倉 将吾,広島東洋カープ,"Sakakura, Shogo",Hiroshima Carp
石原 貴規,広島東洋カープ,"Ishihara, Tomoki",Hiroshima Carp
磯村 嘉孝,広島東洋カープ,"Isomura, Yoshitaka",Hiroshima Carp
持丸 泰輝,広島東洋カープ,"Mochimaru, Taiki",Hiroshima Carp
清水 叶人,広島東洋カープ,"Shimizu, Kanato",Hiroshima Carp
髙木 翔斗,広島東洋カープ,"Takagi, Shoto",Hiroshima Carp
曽根 海成,広島東洋カープ,"Sone, Kaisei",Hiroshima Carp
上本 崇司,広島東洋カープ,"Uemoto, Takashi",Hiroshima Carp
田中 広輔,広島東洋カープ,"Tanaka, Kosuke",Hiroshima Carp
堂林 翔太,広島東洋カープ,"Dohbayashi, Shota",Hiroshima Carp
レイノルズ,広島東洋カープ,"Reynolds, Matt",Hiroshima Carp
菊池 涼介,広島東洋カープ,"Kikuchi, Ryosuke",Hiroshima Carp
林 晃汰,広島東洋カープ,"Hayashi, Kota",Hiroshima Carp
小園 海斗,広島東洋カープ,"Kozono, Kaito",Hiroshima Carp
韮澤 雄也,広島東洋カープ,"Nirasawa, Yuya",Hiroshima Carp
仲田 侑仁,広島東洋カープ,"Nakada, Yuto",Hiroshima Carp
矢野 雅哉,広島東洋カープ,"Yano, Masaya",Hiroshima Carp
内田 湘大,広島東洋カープ,"Uchida, Shodai",Hiroshima Carp
羽月 隆太郎,広島東洋カープ,"Hatsuki, Ryutaro",Hiroshima Carp
佐藤 啓介,広島東洋カープ,"Sato, Keisuke",Hiroshima Carp
シャイナー,広島東洋カープ,"Scheiner, Jake",Hiroshima Carp
二俣 翔一,広島東洋カープ,"Futamata, Shoichi",Hiroshima Carp
秋山 翔吾,広島東洋カープ,"Akiyama, Shogo",Hiroshima Carp
