        Pitcher  G  W  L  SV  CG  SHO  BF    IP   H  HR  SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%      K%    BB%   K-BB%            Team League
0        アドゥワ　誠  1  0  0   0   0    0   3   1.0   0   0   0   0    0   0   0   0   0   0.00   3.04   4.80  0.00  999   95    130   -3.04   0.0%    0.0%   0.0%    0.0%  Hiroshima Carp     CL
1        アンダーソン  1  0  0   0   0    0   4   1.0   0   0   1   1    0   0   0   0   0   0.00   4.04   4.80  1.00  999  127    130   -4.04   0.0%   25.0%  25.0%    0.0%  Hiroshima Carp     CL
2       ウェンデルケン  1  0  1   0   0    0   5   0.2   2   0   0   1    1   0   0   1   1  13.50   7.54   6.80  4.50   25  228    184    5.96   0.0%    0.0%  20.0%  -20.0%   DeNA BayStars     CL
3         エスコバー  1  0  0   0   0    0   2   0.1   0   0   1   1    1   0   0   0   0   0.00   6.04   4.80  3.00  999  183    130   -6.04   0.0%   50.0%  50.0%    0.0%   DeNA BayStars     CL
4           オスナ  2  0  0   1   0    0   8   2.0   2   0   3   0    0   0   0   0   0   0.00   0.04   1.05  1.00  999    1     28   -0.04   0.0%   37.5%   0.0%   37.5%  SoftBank Hawks     PL
5   スチュワート・ジュニア  1  0  1   0   0    0  12   2.1   2   2   2   3    0   0   0   4   3  11.57  16.32   5.63  2.14   28  497    152   -4.75  16.7%   16.7%  25.0%   -8.3%  SoftBank Hawks     PL
6          ターリー  2  1  0   0   0    0   4   1.0   1   0   2   0    0   0   0   0   0   0.00  -0.96  -0.20  1.00  999  -30     -5    0.96   0.0%   50.0%   0.0%   50.0%  Hiroshima Carp     CL
7         ビーズリー  1  0  0   0   0    0  10   2.1   2   0   1   1    0   0   0   0   0   0.00   3.47   4.80  1.29  999  107    130   -3.47   0.0%   10.0%  10.0%    0.0%  Hanshin Tigers     CL
8          ブルワー  2  0  0   0   0    0   6   1.1   1   0   1   1    0   0   0   1   1   6.75   3.79   4.80  1.50   48  117    130    2.96   0.0%   16.7%  16.7%    0.0%  Hanshin Tigers     CL
9        ヘルナンデス  2  0  0   0   0    0   3   1.0   0   0   1   0    0   0   0   0   0   0.00   1.04   1.47  0.00  999   32     40   -1.04   0.0%   33.3%   0.0%   33.3%  SoftBank Hawks     PL
10        メルセデス  1  0  0   0   0    0  23   5.0   7   0   4   1    0   0   0   3   3   5.40   2.04   3.50  1.60   63   60     95    3.36   0.0%   17.4%   4.3%   13.1%   Lotte Marines     PL
11       ワゲスパック  2  0  1   0   0    0   9   1.1   1   0   3   4    2   0   2   1   1   6.75   7.54   5.91  3.75   47  238    160   -0.79   0.0%   33.3%  44.4%  -11.1%  ORIX Buffaloes     PL
