                  Player   G  PA  AB   R   H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%     BB%  BB/K                Team League                          keys
55           Takeda Aito   2   1   1   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000         100.0%  100.0%    0.0%  0.00       Lotte Marines     PL           (愛斗, Lotte Marines)
56    Tobashira Yasutaka  13  50  48   6  15   3   0   1  21    7   0   0   0   0   8   2    0   0    0  0.312  0.340  0.438  0.778   137  0.125  0.359   22.0%   16.0%    4.0%  0.25       DeNA BayStars     CL        (戸柱 恭孝, DeNA BayStars)
57           Togo Shosei   2   4   1   0   0   0   0   0   0    1   0   0   3   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000          25.0%   25.0%    0.0%  0.00      Yomiuri Giants     CL       (戸郷 翔征, Yomiuri Giants)
58          Saiki Hiroto   1   1   1   0   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000  0.000    0.0%    0.0%    0.0%            Hanshin Tigers     CL       (才木 浩人, Hanshin Tigers)
59         Arihara Kohei   3   4   4   0   1   0   0   0   1    2   0   0   0   0   1   0    0   0    0  0.250  0.250  0.250  0.500    55  0.000  0.333   25.0%   25.0%    0.0%  0.00      SoftBank Hawks     PL       (有原 航平, SoftBank Hawks)
60          Kinami Seiya   2   6   4   0   1   0   0   0   1    1   0   0   0   0   2   2    0   0    0  0.250  0.500  0.250  0.750   144  0.000  0.500   66.7%   33.3%   33.3%  1.00      Hanshin Tigers     CL       (木浪 聖也, Hanshin Tigers)
61         Azuma Katsuki   2   2   2   0   1   0   0   0   1    0   0   0   0   0   0   0    0   0    0  0.500  0.500  0.500  1.000   208  0.000  0.500    0.0%    0.0%    0.0%             DeNA BayStars     CL         (東 克樹, DeNA BayStars)
62          Matsuo Shion   3   4   4   1   2   1   0   0   3    0   0   0   0   0   1   0    0   0    0  0.500  0.500  0.750  1.250   277  0.250  0.667   25.0%   25.0%    0.0%  0.00       DeNA BayStars     CL        (松尾 汐恩, DeNA BayStars)
63          Matsumoto Go   6  24  20   2   5   0   0   0   5    1   1   2   1   1   2   2    0   0    2  0.250  0.292  0.250  0.542    68  0.000  0.263   16.7%    8.3%    8.3%  1.00  Nipponham Fighters     PL    (松本 剛, Nipponham Fighters)
64        Hayashi Takuma   6   1   1   1   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%             DeNA BayStars     CL         (林 琢真, DeNA BayStars)
65         Yanagita Yuki   9  40  37   3   9   1   0   1  13    3   0   1   0   0  10   3    0   0    1  0.243  0.300  0.351  0.651   100  0.108  0.308   35.0%   25.0%    7.5%  0.30      SoftBank Hawks     PL       (柳田 悠岐, SoftBank Hawks)
66   Yanagimachi Tatsuru   2   4   4   1   0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000   50.0%   50.0%    0.0%  0.00      SoftBank Hawks     PL        (柳町 達, SoftBank Hawks)
67     Shibata Tatsuhiro   7   2   1   0   0   0   0   0   0    0   0   0   1   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000          50.0%   50.0%    0.0%  0.00       DeNA BayStars     CL        (柴田 竜拓, DeNA BayStars)
68        Kurihara Ryoya   9  37  33   3   6   0   0   1   9    2   0   0   1   0  10   3    0   0    2  0.182  0.243  0.273  0.516    59  0.091  0.227   37.8%   27.0%    8.1%  0.30      SoftBank Hawks     PL       (栗原 陵矢, SoftBank Hawks)
69     Kuwahara Masayuki  14  62  54   8  18   5   1   1  28   10   1   1   2   0   4   4    0   2    0  0.333  0.387  0.519  0.906   175  0.185  0.347   14.5%    6.5%    6.5%  1.00       DeNA BayStars     CL        (桑原 将志, DeNA BayStars)
70         Umeno Ryutaro   2   5   5   0   1   0   0   0   1    0   0   0   0   0   1   0    0   0    0  0.200  0.200  0.200  0.400    26  0.000  0.250   20.0%   20.0%    0.0%  0.00      Hanshin Tigers     CL      (梅野 隆太郎, Hanshin Tigers)
71        Kajiwara Kouki  14  63  62   8  16   2   0   0  18    4   2   1   1   0  16   0    0   0    1  0.258  0.254  0.290  0.544    68  0.032  0.348   25.4%   25.4%    0.0%  0.00       DeNA BayStars     CL        (梶原 昂希, DeNA BayStars)
72            Mori Keito  14  55  46  10  14   1   1   0  17    4   2   1   2   0   8   6    1   1    0  0.304  0.382  0.370  0.751   131  0.065  0.368   25.5%   14.5%   10.9%  0.75       DeNA BayStars     CL         (森 敬斗, DeNA BayStars)
73       Morishita Shota   2   9   8   1   5   0   0   1   8    2   0   0   0   0   1   1    0   0    0  0.625  0.667  1.000  1.667   424  0.375  0.667   33.3%   11.1%   11.1%  1.00      Hanshin Tigers     CL       (森下 翔太, Hanshin Tigers)
74         Masaki Tomoya   5  17  15   1   2   1   0   0   3    1   0   0   1   0   1   1    0   0    0  0.133  0.176  0.200  0.376    17  0.067  0.143   11.8%    5.9%    5.9%  1.00      SoftBank Hawks     PL       (正木 智也, SoftBank Hawks)
75         Mizutani Shun   4   6   6   0   0   0   0   0   0    0   0   0   0   0   5   0    0   0    0  0.000  0.000  0.000  0.000   -97  0.000  0.000   83.3%   83.3%    0.0%  0.00  Nipponham Fighters     PL    (水谷 瞬, Nipponham Fighters)
76        Mizuno Tatsuki   6  21  20   2   8   1   1   0  11    2   0   0   1   0   8   0    0   0    0  0.400  0.381  0.550  0.931   181  0.150  0.667   38.1%   38.1%    0.0%  0.00  Nipponham Fighters     PL   (水野 達稀, Nipponham Fighters)
77           Asano Shogo   1   4   4   0   0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000   50.0%   50.0%    0.0%  0.00      Yomiuri Giants     CL       (浅野 翔吾, Yomiuri Giants)
78         Umino Takashi   2   1   1   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000         100.0%  100.0%    0.0%  0.00      SoftBank Hawks     PL       (海野 隆司, SoftBank Hawks)
79           Asama Daiki   5  11  10   0   1   0   0   0   1    1   0   1   0   0   7   1    0   0    0  0.100  0.182  0.100  0.282   -10  0.000  0.333   72.7%   63.6%    9.1%  0.14  Nipponham Fighters     PL   (淺間 大基, Nipponham Fighters)
80       Kiyomiya Kotaro   6  26  25   1   6   1   0   0   7    3   1   0   0   0   3   1    0   0    0  0.240  0.269  0.280  0.549    69  0.040  0.273   15.4%   11.5%    3.8%  0.33  Nipponham Fighters     PL  (清宮 幸太郎, Nipponham Fighters)
81         Shimizu Yushi   1   1   1   0   1   0   0   0   1    0   0   0   0   0   0   0    0   0    0  1.000  1.000  1.000  2.000   508  0.000  1.000    0.0%    0.0%    0.0%        Nipponham Fighters     PL   (清水 優心, Nipponham Fighters)
82          Watanabe Ryo   2   2   2   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000  0.000   50.0%   50.0%    0.0%  0.00      Hanshin Tigers     CL        (渡邉 諒, Hanshin Tigers)
83    Hamaguchi Haruhiro   3   1   1   0   1   0   0   0   1    0   0   0   0   0   0   0    0   0    0  1.000  1.000  1.000  2.000   513  0.000  1.000    0.0%    0.0%    0.0%             DeNA BayStars     CL        (濵口 遥大, DeNA BayStars)
84            Maki Shugo  14  65  56   6  16   2   0   1  21    7   0   0   0   0  10   7    0   2    1  0.286  0.385  0.375  0.760   134  0.089  0.333   27.7%   15.4%   10.8%  0.70       DeNA BayStars     CL         (牧 秀悟, DeNA BayStars)
85       Makihara Taisei   7  18  15   1   4   1   0   0   5    2   0   0   1   0   0   2    0   0    1  0.267  0.333  0.333  0.667   106  0.067  0.267   11.1%    0.0%   11.1%  1.00      SoftBank Hawks     PL       (牧原 大成, SoftBank Hawks)
86            Tamiya Yua   4   9   8   1   1   1   0   0   2    0   0   0   0   0   3   1    0   0    1  0.125  0.222  0.250  0.472    45  0.125  0.200   44.4%   33.3%   11.1%  0.33  Nipponham Fighters     PL   (田宮 裕涼, Nipponham Fighters)
87            Kai Takuya   8  26  22   0   1   0   0   0   1    1   0   0   1   1  13   2    2   0    0  0.045  0.115  0.045  0.161   -47  0.000  0.100   57.7%   50.0%    7.7%  0.15      SoftBank Hawks     PL       (甲斐 拓也, SoftBank Hawks)
88           Yazawa Kota   1   3   3   0   1   0   0   0   1    1   0   0   0   0   1   0    0   0    0  0.333  0.333  0.333  0.667   105  0.000  0.500   33.3%   33.3%    0.0%  0.00  Nipponham Fighters     PL   (矢澤 宏太, Nipponham Fighters)
89           Chino Naoto   2   1   1   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000         100.0%  100.0%    0.0%  0.00       DeNA BayStars     CL        (知野 直人, DeNA BayStars)
90        Ishii Kazunari   2   3   3   1   1   0   0   0   1    0   0   0   0   0   2   0    0   0    0  0.333  0.333  0.333  0.667   105  0.000  1.000   66.7%   66.7%    0.0%  0.00  Nipponham Fighters     PL   (石井 一成, Nipponham Fighters)
91       Ishikawa Shingo   1   1   1   0   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%             Lotte Marines     PL        (石川 慎吾, Lotte Marines)
92       Kamizato Kazuki   8   1   1   1   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%             DeNA BayStars     CL        (神里 和毅, DeNA BayStars)
93          Akihiro Yuto   2   2   2   0   0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000         100.0%  100.0%    0.0%  0.00      Yomiuri Giants     CL       (秋広 優人, Yomiuri Giants)
94      Tateoka Soichiro   3   4   4   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000   25.0%   25.0%    0.0%  0.00      Yomiuri Giants     CL      (立岡 宗一郎, Yomiuri Giants)
95    Sasagawa Yoshiyasu   3   7   7   0   1   0   0   0   1    0   1   0   0   0   2   0    0   0    0  0.143  0.143  0.143  0.286   -11  0.000  0.200   28.6%   28.6%    0.0%  0.00      SoftBank Hawks     PL       (笹川 吉康, SoftBank Hawks)
