              Team  W  L SV CG SHO   BF    IP   H HR  SO  BB IBB HB WP   R  ER   ERA   FIP kwERA  WHIP ERA+ FIP- kwERA-   Diff   HR%     K%    BB%  K-BB% League
0   Hanshin Tigers  0  2  0  0   0   91  22.2  17  0  17   7   0  0  1   9   5  1.99  2.58  3.70  1.06  108   83  108.2  -0.59  0.0%  18.7%   7.7%  11.0%     CL
1   Yomiuri Giants  2  2  2  0   0  182  42.0  31  1  33  25   2  2  2  13   9  1.93  3.82  4.36  1.33  119  115  127.5  -1.89  0.5%  18.1%  13.7%   4.4%     CL
2  Yakult Swallows  6  2  2  2   1  314  78.1  63  3  72  19   3  3  1  17  14  1.61  2.66  3.11  1.05  142   80   91.0  -1.05  1.0%  22.9%   6.1%  16.9%     CL
3   ORIX Buffaloes  4  4  2  1   1  326  82.0  59  6  83  25   1  2  0  22  19  2.09  3.07  3.02  1.02  102   99   88.3  -0.98  1.8%  25.5%   7.7%  17.8%     PL
4    Lotte Marines  1  2  0  0   0  178  42.0  35  3  35  17   3  0  1  14  13  2.79  3.63  3.79  1.24   81  111  110.8  -0.84  1.7%  19.7%   9.6%  10.1%     PL
5   Rakuten Eagles  0  1  0  0   0   69  16.1  18  3  17   4   1  1  1   9   9  4.96  4.38  2.92  1.35   43  140   85.3   0.58  4.3%  24.6%   5.8%  18.8%     PL
6   League Average  2  2  1  0   0  193  47.0  37  3  43  16   2  1  1  14  12  2.30  3.24  3.40  1.13   95  102   99.4  -0.94  1.6%  22.3%   8.3%  14.0%       
