      Player  G  PA  AB  R   H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%    BB%  BB/K             Team League
0      ウィーラー  5  20  17  0   4   1   0   0   5    4   0   0   1   1   1   1    0   0    1  0.235  0.250  0.294  0.544    78  0.059  0.235   10.0%    5.0%   5.0%  1.00   Yomiuri Giants     CL
1     エチェバリア  5  15  14  3   5   1   0   1   9    1   0   1   0   0   4   1    0   0    1  0.357  0.400  0.643  1.043   240  0.286  0.444   40.0%   26.7%   6.7%  0.25    Lotte Marines     PL
2        オスナ  9  35  34  1   9   2   0   0  11    1   0   1   0   0   9   1    0   0    3  0.265  0.286  0.324  0.609    99  0.059  0.360   28.6%   25.7%   2.9%  0.11  Yakult Swallows     CL
3       サンタナ  9  36  27  7   3   0   0   3  12    5   0   0   0   0   9   9    0   0    1  0.111  0.333  0.444  0.778   152  0.333  0.000   58.3%   25.0%  25.0%  1.00  Yakult Swallows     CL
4      ジョーンズ  7   7   5  1   1   0   0   1   4    1   0   0   0   0   3   2    1   0    0  0.200  0.429  0.800  1.229   316  0.600  0.000   85.7%   42.9%  28.6%  0.67   ORIX Buffaloes     PL
5        マルテ  2   9   9  0   2   0   0   0   2    0   0   1   0   0   2   0    0   0    0  0.222  0.222  0.222  0.444    50  0.000  0.286   22.2%   22.2%   0.0%  0.00   Hanshin Tigers     CL
6      マーティン  5  20  17  3   3   1   0   1   7    1   0   0   0   0   9   3    0   0    0  0.176  0.300  0.412  0.712   134  0.235  0.286   65.0%   45.0%  15.0%  0.33    Lotte Marines     PL
7      メルセデス  1   2   2  0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -96  0.000  0.000   50.0%   50.0%   0.0%  0.00   Yomiuri Giants     CL
8         モヤ  6  13  12  1   4   0   0   1   7    2   0   0   0   0   5   1    0   0    0  0.333  0.385  0.583  0.968   228  0.250  0.500   53.8%   38.5%   7.7%  0.20   ORIX Buffaloes     PL
9        ラベロ  5  17  16  0   1   1   0   0   2    0   0   0   0   0   3   1    0   0    1  0.062  0.118  0.125  0.243   -20  0.062  0.077   23.5%   17.6%   5.9%  0.33   ORIX Buffaloes     PL
10      レアード  5  18  17  0   3   0   0   0   3    2   0   0   0   0   5   1    0   0    0  0.176  0.222  0.176  0.399    33  0.000  0.250   33.3%   27.8%   5.6%  0.20    Lotte Marines     PL
11  ロハス・ジュニア  2   9   8  0   2   1   0   0   3    0   0   0   0   0   1   1    0   0    0  0.250  0.333  0.375  0.708   139  0.125  0.286   22.2%   11.1%  11.1%  1.00   Hanshin Tigers     CL
12     中島　宏之  4  10   9  0   2   0   0   0   2    0   0   0   0   0   3   1    0   0    0  0.222  0.300  0.222  0.522    73  0.000  0.333   40.0%   30.0%  10.0%  0.33   Yomiuri Giants     CL
13     中村　奨吾  5  20  18  2   6   0   0   1   9    2   2   0   0   1   4   1    0   0    0  0.333  0.350  0.500  0.850   179  0.167  0.357   30.0%   20.0%   5.0%  0.25    Lotte Marines     PL
14     中村　悠平  9  35  30  0   9   1   0   0  10    3   0   0   3   0  10   2    0   0    0  0.300  0.314  0.333  0.648   111  0.033  0.450   34.3%   28.6%   5.7%  0.20  Yakult Swallows     CL
15      中田　翔  2   2   2  0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -96  0.000  0.000   50.0%   50.0%   0.0%  0.00   Yomiuri Giants     CL
16     中野　拓夢  2   9   8  0   3   1   0   0   4    1   0   0   0   0   2   1    0   0    0  0.375  0.444  0.500  0.944   221  0.125  0.500   33.3%   22.2%  11.1%  0.50   Hanshin Tigers     CL
17      丸　佳浩  5  20  16  2   5   1   0   0   6    2   0   0   0   0   3   4    0   0    0  0.312  0.450  0.375  0.825   169  0.062  0.385   35.0%   15.0%  20.0%  1.33   Yomiuri Giants     CL
18     亀井　善行  3  10   8  0   1   0   0   0   1    0   0   0   1   0   1   1    0   0    0  0.125  0.200  0.125  0.325    10  0.000  0.143   20.0%   10.0%  10.0%  1.00   Yomiuri Giants     CL
19     伏見　寅威  8  14  11  1   1   1   0   0   2    1   0   0   2   0   1   1    0   0    0  0.091  0.143  0.182  0.325     8  0.091  0.100   14.3%    7.1%   7.1%  1.00   ORIX Buffaloes     PL
20     佐藤　輝明  2   5   4  1   1   1   0   0   2    1   0   0   0   0   1   1    0   0    0  0.250  0.400  0.500  0.900   205  0.250  0.333   40.0%   20.0%  20.0%  1.00   Hanshin Tigers     CL
21    佐藤　都志也  4   4   4  0   2   1   0   0   3    2   0   0   0   0   0   0    0   0    0  0.500  0.500  0.750  1.250   307  0.250  0.500    0.0%    0.0%   0.0%          Lotte Marines     PL
22    八百板　卓丸  4   5   5  1   1   0   0   0   1    0   0   0   0   0   2   0    0   0    0  0.200  0.200  0.200  0.400    33  0.000  0.333   40.0%   40.0%   0.0%  0.00   Yomiuri Giants     CL
23     内川　聖一  3   3   3  0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    1  0.000  0.000  0.000  0.000   -96  0.000  0.000   33.3%   33.3%   0.0%  0.00  Yakult Swallows     CL
24     加藤　匠馬  5   8   7  0   0   0   0   0   0    0   0   0   1   0   2   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000   25.0%   25.0%   0.0%  0.00    Lotte Marines     PL
