Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
岩下　大輝,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,Lotte Marines,
小野　郁,1,0,0,0,0,0,0,.000,2,0,.2,0,0,0,0,0,1,0,0,0,0,0.00,Lotte Marines,
唐川　侑己,2,0,0,0,0,0,0,.000,6,1,.2,2,0,0,0,0,1,0,0,0,0,0.00,Lotte Marines,
澤村　拓一,2,0,1,0,0,0,0,.000,10,2,,2,0,2,0,0,0,0,0,1,1,4.50,Lotte Marines,
チェン・ウェイン,1,0,1,0,0,0,0,.000,17,3,.1,7,3,0,0,0,1,0,0,5,5,13.50,Lotte Marines,
東條　大樹,1,0,0,0,0,0,0,.000,1,+,,1,0,0,0,0,0,0,0,0,0,0.00,Lotte Marines,
ハーマン,2,0,0,0,0,0,0,.000,9,2,,2,0,1,1,0,1,0,0,1,1,4.50,Lotte Marines,
美馬　学,1,0,0,0,0,0,0,.000,23,5,.1,7,1,1,0,0,5,0,0,3,2,3.38,Lotte Marines,
岩嵜　翔,1,0,0,0,0,0,0,.000,3,1,,1,0,0,0,0,1,0,0,0,0,0.00,SoftBank Hawks,
嘉弥真　新也,1,0,0,0,0,0,0,.000,2,0,.1,1,0,0,0,0,0,0,0,1,1,27.00,SoftBank Hawks,
千賀　滉大,1,0,0,0,0,0,0,.000,29,7,,8,1,0,0,0,8,0,0,3,3,3.86,SoftBank Hawks,
高橋　礼,1,0,0,0,0,0,0,.000,1,0,.1,0,0,0,0,0,0,0,0,0,0,0.00,SoftBank Hawks,
東浜　巨,1,0,0,0,0,0,0,.000,22,4,,7,0,3,0,1,4,0,0,3,3,6.75,SoftBank Hawks,
松本　裕樹,1,0,0,0,0,0,0,.000,5,1,,1,0,1,0,0,1,0,0,0,0,0.00,SoftBank Hawks,
モイネロ,2,2,0,0,0,0,0,1.000,7,2,.1,0,0,0,0,0,3,0,0,0,0,0.00,SoftBank Hawks,
森　唯斗,2,0,0,2,0,0,0,.000,9,2,,2,0,1,0,0,4,0,0,0,0,0.00,SoftBank Hawks,
今村　信貴,1,0,1,0,0,0,0,.000,10,1,.2,4,1,1,0,0,1,0,0,4,3,16.20,Yomiuri Giants,
大江　竜聖,2,0,0,0,0,0,0,.000,9,1,.2,2,0,1,0,1,1,0,0,0,0,0.00,Yomiuri Giants,
大竹　寛,2,0,0,0,0,0,0,.000,8,1,,4,0,0,0,0,1,0,0,2,0,0.00,Yomiuri Giants,
鍵谷　陽平,1,0,0,0,0,0,0,.000,5,0,.1,3,1,1,0,0,0,0,1,4,4,108.00,Yomiuri Giants,
サンチェス,1,0,1,0,0,0,0,.000,27,6,.1,6,1,2,1,0,7,0,0,3,3,4.26,Yomiuri Giants,
菅野　智之,1,0,1,0,0,0,0,.000,24,6,,6,1,0,0,1,4,0,0,4,4,6.00,Yomiuri Giants,
高梨　雄平,2,0,0,0,0,0,0,.000,6,1,.1,1,0,0,0,1,1,0,0,1,1,6.75,Yomiuri Giants,
髙橋　優貴,1,0,0,0,0,0,0,.000,6,1,,1,0,2,0,0,0,0,0,1,1,9.00,Yomiuri Giants,
田口　麗斗,1,0,0,0,0,0,0,.000,8,2,,1,0,1,0,0,1,0,0,1,1,4.50,Yomiuri Giants,
デラロサ,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,0,0,0,0,0,0.00,Yomiuri Giants,
戸郷　翔征,3,0,0,0,0,0,0,.000,21,5,.2,2,1,3,0,0,8,0,0,2,2,3.18,Yomiuri Giants,
中川　皓太,2,0,0,0,0,0,0,.000,5,1,.2,1,0,0,0,0,1,0,0,0,0,0.00,Yomiuri Giants,
畠　世周,1,0,1,0,0,0,0,.000,9,1,.2,4,2,0,0,0,3,0,0,4,4,21.60,Yomiuri Giants,
ビエイラ,2,0,0,0,0,0,0,.000,10,2,.2,1,0,0,0,1,3,0,0,0,0,0.00,Yomiuri Giants,
