Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
ウィーラー,4.0,16.0,13.0,1.0,2.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.154,0.250,0.385,0.635,80,0.231,0.125,50.0%,31.2%,12.5%,0.40,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
グラシアル,6.0,24.0,21.0,6.0,7.0,0.0,0.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.333,0.417,0.476,0.893,161,0.143,0.333,25.0%,8.3%,12.5%,1.50,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
デスパイネ,6.0,23.0,21.0,3.0,6.0,1.0,0.0,1.0,10.0,7.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.286,0.304,0.476,0.781,125,0.190,0.294,26.1%,17.4%,4.3%,0.25,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
上林　誠知,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
中島　宏之,4.0,15.0,11.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,1.0,0.182,0.400,0.182,0.582,75,0.000,0.333,40.0%,33.3%,6.7%,0.20,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
中村　奨吾,2.0,9.0,8.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.250,0.333,0.250,0.583,75,0.000,0.400,33.3%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
中村　晃,6.0,24.0,23.0,4.0,8.0,1.0,0.0,3.0,18.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.348,0.375,0.783,1.158,228,0.435,0.294,29.2%,12.5%,4.2%,0.33,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
丸　佳浩,4.0,16.0,15.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.133,0.188,0.133,0.321,-4,0.000,0.154,18.8%,12.5%,6.2%,0.50,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
亀井　善行,4.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000,0.000,0.000,0.000,-98,0.000,0.000,11.1%,11.1%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
井上　晴哉,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-102,0.000,0.000,20.0%,20.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
佐藤　都志也,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-102,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
吉川　尚輝,4.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.100,0.100,0.100,0.200,-40,0.000,0.111,10.0%,10.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
周東　佑京,6.0,27.0,24.0,3.0,3.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.125,0.222,0.250,0.472,38,0.125,0.176,29.6%,25.9%,3.7%,0.14,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
坂本　勇人,4.0,16.0,14.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.214,0.312,0.286,0.598,74,0.071,0.429,56.2%,43.8%,12.5%,0.29,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
増田　大輝,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
大城　卓三,4.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.111,0.111,0.111,0.222,-34,0.000,0.200,44.4%,44.4%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
安田　尚憲,2.0,9.0,9.0,3.0,4.0,2.0,0.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.444,0.444,1.000,1.444,312,0.556,0.600,44.4%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
岡本　和真,4.0,16.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.077,0.250,0.077,0.327,1,0.000,0.125,50.0%,31.2%,18.8%,0.60,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
岸田　行倫,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.000,0.333,0.000,0.333,8,0.000,,66.7%,33.3%,33.3%,1.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
川島　慶三,3.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.250,0.400,0.500,0.900,162,0.250,0.333,40.0%,20.0%,20.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
川瀬　晃,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500,0.500,0.500,1.000,194,0.000,0.500,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
明石　健志,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
松原　聖弥,4.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.000,0.100,0.000,0.100,-66,0.000,0.000,40.0%,30.0%,10.0%,0.33,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
松田　宣浩,6.0,22.0,21.0,2.0,5.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.238,0.273,0.381,0.654,89,0.143,0.286,36.4%,27.3%,4.5%,0.17,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
