Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
サンチェス,1.0,0.0,1.0,0.0,0.0,0.0,27.0,6.1,6.0,1.0,7.0,2.0,1.0,0.0,0.0,3.0,3.0,4.26,4.15,2.95,1.26,89,97,92,0.11,3.7%,25.9%,7.4%,18.5%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
チェン・ウェイン,1.0,0.0,1.0,0.0,0.0,0.0,17.0,3.1,7.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,13.50,14.46,4.21,2.10,27,350,131,-0.96,17.6%,5.9%,0.0%,5.9%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
デラロサ,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,3.36,4.80,0.00,999,78,150,-3.36,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
ハーマン,2.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.50,3.86,4.80,1.50,81,94,150,0.64,0.0%,11.1%,11.1%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
ビエイラ,2.0,0.0,0.0,0.0,0.0,0.0,10.0,2.2,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00,2.24,1.80,0.38,999,52,56,-2.24,0.0%,30.0%,0.0%,30.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
ムーア,1.0,1.0,0.0,0.0,0.0,0.0,24.0,7.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00,2.79,3.55,0.29,999,67,111,-2.79,0.0%,20.8%,8.3%,12.5%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
モイネロ,5.0,2.0,0.0,0.0,0.0,0.0,19.0,5.1,0.0,0.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.00,0.93,0.06,0.38,999,22,2,-0.93,0.0%,57.9%,10.5%,47.4%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
中川　皓太,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.16,2.80,0.60,999,50,87,-2.16,0.0%,20.0%,0.0%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
今村　信貴,1.0,0.0,1.0,0.0,0.0,0.0,10.0,1.2,4.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,16.20,11.76,4.80,3.00,24,274,150,4.44,10.0%,10.0%,10.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
千賀　滉大,2.0,1.0,0.0,0.0,0.0,0.0,55.0,14.0,11.0,1.0,14.0,3.0,0.0,0.0,0.0,3.0,3.0,1.93,2.94,2.80,1.00,192,71,87,-1.01,1.8%,25.5%,5.5%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
和田　毅,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,4.50,2.86,3.80,2.00,82,69,118,1.64,0.0%,20.0%,10.0%,10.0%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
唐川　侑己,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.16,3.13,1.20,999,52,98,-2.16,0.0%,16.7%,0.0%,16.7%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
嘉弥真　新也,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.00,1.36,2.30,1.00,41,33,72,7.64,0.0%,25.0%,0.0%,25.0%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
大江　竜聖,2.0,0.0,0.0,0.0,0.0,0.0,9.0,1.2,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.00,5.76,4.80,1.80,999,134,150,-5.76,0.0%,11.1%,11.1%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
大竹　寛,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00,1.36,3.55,4.00,999,32,111,-1.36,0.0%,12.5%,0.0%,12.5%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
小野　郁,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.36,-0.20,0.00,999,9,-6,-0.36,0.0%,50.0%,0.0%,50.0%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
