Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
ウィーラー,5.0,20.0,17.0,0.0,4.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.235,0.250,0.294,0.544,78,0.059,0.235,10.0%,5.0%,5.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
エチェバリア,5.0,15.0,14.0,3.0,5.0,1.0,0.0,1.0,9.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.357,0.400,0.643,1.043,240,0.286,0.444,40.0%,26.7%,6.7%,0.25,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
オスナ,9.0,35.0,34.0,1.0,9.0,2.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,3.0,0.265,0.286,0.324,0.609,99,0.059,0.360,28.6%,25.7%,2.9%,0.11,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
サンタナ,9.0,36.0,27.0,7.0,3.0,0.0,0.0,3.0,12.0,5.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,0.111,0.333,0.444,0.778,152,0.333,0.000,58.3%,25.0%,25.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
ジョーンズ,7.0,7.0,5.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.200,0.429,0.800,1.229,316,0.600,0.000,85.7%,42.9%,28.6%,0.67,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
マルテ,2.0,9.0,9.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.222,0.222,0.222,0.444,50,0.000,0.286,22.2%,22.2%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
マーティン,5.0,20.0,17.0,3.0,3.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.176,0.300,0.412,0.712,134,0.235,0.286,65.0%,45.0%,15.0%,0.33,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
メルセデス,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-96,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
モヤ,6.0,13.0,12.0,1.0,4.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.333,0.385,0.583,0.968,228,0.250,0.500,53.8%,38.5%,7.7%,0.20,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
ラベロ,5.0,17.0,16.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.062,0.118,0.125,0.243,-20,0.062,0.077,23.5%,17.6%,5.9%,0.33,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
レアード,5.0,18.0,17.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.176,0.222,0.176,0.399,33,0.000,0.250,33.3%,27.8%,5.6%,0.20,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
ロハス・ジュニア,2.0,9.0,8.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.250,0.333,0.375,0.708,139,0.125,0.286,22.2%,11.1%,11.1%,1.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
