Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
ゴンザレス,11.0,41.0,36.0,4.0,8.0,2.0,0.0,1.0,13.0,5.0,0.0,0.0,0.0,1.0,10.0,4.0,0.0,0.0,0.0,0.222,0.293,0.361,0.654,105,0.139,0.269,36.6%,24.4%,9.8%,0.40,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
セデーニョ,8.0,26.0,25.0,4.0,5.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.200,0.231,0.320,0.551,71,0.120,0.333,53.8%,46.2%,3.8%,0.08,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
ソト,2.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.200,0.286,0.200,0.486,51,0.000,0.200,28.6%,14.3%,14.3%,1.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
デビッドソン,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.000,0.333,0.000,0.333,8,0.000,0.000,83.3%,50.0%,33.3%,0.67,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
ノイジー,10.0,41.0,38.0,3.0,9.0,0.0,0.0,2.0,15.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.237,0.293,0.395,0.687,113,0.158,0.219,22.0%,9.8%,7.3%,0.75,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
ブロッソー,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-96,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
ポランコ,7.0,30.0,25.0,5.0,6.0,1.0,0.0,2.0,13.0,8.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,0.0,0.0,0.240,0.300,0.520,0.820,145,0.280,0.211,36.7%,20.0%,10.0%,0.50,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
マクブルーム,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-102,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
ミエセス,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-101,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
三森　大貴,3.0,12.0,12.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.250,0.250,0.417,0.667,103,0.167,0.300,16.7%,16.7%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
上本　崇司,3.0,9.0,9.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.333,0.333,0.444,0.778,142,0.111,0.429,22.2%,22.2%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
上林　誠知,3.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-99,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
中川　圭太,11.0,46.0,42.0,1.0,10.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,1.0,0.238,0.239,0.238,0.477,49,0.000,0.263,10.9%,10.9%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
中村　奨吾,6.0,20.0,15.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,1.0,1.0,0.067,0.250,0.067,0.317,1,0.000,0.125,50.0%,35.0%,15.0%,0.43,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
中村　晃,3.0,12.0,10.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.300,0.417,0.300,0.717,123,0.000,0.300,16.7%,0.0%,16.7%,1.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
