Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
石井　大智,2,0,0,0,0,0,0,.000,7,1,.2,2,0,0,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
岡留　英貴,2,0,0,0,0,0,0,.000,9,2,,2,0,0,0,1,0,0,0,2,2,9.00,Hanshin Tigers,
桐敷　拓馬,1,0,0,0,0,0,0,.000,6,1,.1,2,0,0,0,0,1,0,0,2,2,13.50,Hanshin Tigers,
才木　浩人,1,0,1,0,0,0,0,.000,24,5,,7,0,3,2,0,2,0,0,1,1,1.80,Hanshin Tigers,
島本　浩也,2,0,0,0,0,0,0,.000,9,2,,2,0,2,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
髙橋　遥人,1,0,1,0,0,0,0,.000,23,5,,6,0,1,0,1,4,0,0,4,4,7.20,Hanshin Tigers,
富田　蓮,1,0,0,0,0,0,0,.000,1,+,,1,1,0,0,0,0,0,0,1,1,----,Hanshin Tigers,
村上　頌樹,1,0,0,0,0,0,0,.000,6,1,,3,1,0,0,0,0,0,0,3,3,27.00,Hanshin Tigers,
東　克樹,1,0,0,0,0,0,0,.000,16,4,,3,0,0,0,1,3,0,0,0,0,0.00,DeNA BayStars,
伊勢　大夢,1,0,0,0,0,0,0,.000,5,1,,1,0,1,0,0,2,0,0,0,0,0.00,DeNA BayStars,
ウェンデルケン,1,0,0,0,0,0,0,.000,5,1,,2,0,0,0,0,0,1,0,1,1,9.00,DeNA BayStars,
上茶谷　大河,1,0,0,0,0,0,0,.000,5,1,,2,1,0,0,0,1,0,0,1,1,9.00,DeNA BayStars,
坂本　裕哉,2,0,0,0,0,0,0,.000,4,1,.1,0,0,0,0,0,2,0,0,0,0,0.00,DeNA BayStars,
佐々木　千隼,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,0,0,0,0,0,0.00,DeNA BayStars,
ジャクソン,1,1,0,0,0,0,0,1.000,25,5,.2,4,1,4,0,0,9,0,0,1,1,1.59,DeNA BayStars,
堀岡　隼人,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,DeNA BayStars,
森原　康平,1,0,0,1,0,0,0,.000,6,1,,3,0,0,0,0,1,0,0,1,1,9.00,DeNA BayStars,
山﨑　康晃,1,1,0,0,0,0,0,1.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,DeNA BayStars,
小島　和哉,1,0,0,0,0,0,0,.000,24,6,.1,5,0,2,0,0,4,0,0,1,1,1.42,Lotte Marines,
菊地　吏玖,1,0,0,0,0,0,0,.000,1,0,.1,0,0,0,0,0,1,0,0,0,0,0.00,Lotte Marines,
佐々木　朗希,1,1,0,0,0,0,0,1.000,28,8,,5,0,2,0,0,9,0,0,0,0,0.00,Lotte Marines,
澤村　拓一,1,0,1,0,0,0,0,.000,5,0,.2,2,0,1,0,0,2,0,0,1,1,13.50,Lotte Marines,
鈴木　昭汰,2,0,0,0,0,0,0,.000,5,1,.1,1,0,0,0,0,2,0,0,0,0,0.00,Lotte Marines,
種市　篤暉,1,0,1,0,0,0,0,.000,28,7,,5,0,3,0,0,6,0,0,4,3,3.86,Lotte Marines,
益田　直也,2,0,0,1,0,0,0,.000,6,1,.2,1,1,0,0,0,3,0,0,1,1,5.40,Lotte Marines,
横山　陸人,2,0,0,0,0,0,0,.000,6,1,.1,2,0,0,0,0,3,1,0,1,0,0.00,Lotte Marines,
池田　隆英,2,0,0,0,0,0,0,.000,6,1,.2,0,0,0,0,1,1,0,0,0,0,0.00,Nipponham Fighters,
加藤　貴之,1,0,1,0,0,0,0,.000,24,6,.1,8,2,0,0,0,4,0,0,2,2,2.84,Nipponham Fighters,
金村　尚真,1,0,0,0,0,0,0,.000,24,6,.2,4,2,0,0,0,3,0,0,2,2,2.70,Nipponham Fighters,
河野　竜生,3,1,0,0,0,0,0,1.000,7,1,.2,2,0,0,0,0,2,0,0,0,0,0.00,Nipponham Fighters,
北山　亘基,1,0,0,0,0,0,0,.000,21,4,.2,5,0,2,0,0,4,0,0,2,2,3.86,Nipponham Fighters,
齋藤　友貴哉,1,0,0,0,0,0,0,.000,4,0,.2,0,0,2,1,0,0,0,0,0,0,0.00,Nipponham Fighters,
田中　正義,1,0,0,0,0,0,0,.000,5,1,.2,0,0,0,0,0,2,0,0,0,0,0.00,Nipponham Fighters,
宮西　尚生,1,0,0,1,0,0,0,.000,3,1,,0,0,0,0,0,0,0,0,0,0,0.00,Nipponham Fighters,
山﨑　福也,1,1,0,0,0,0,0,1.000,11,3,,0,0,2,0,0,1,0,0,0,0,0.00,Nipponham Fighters,
山本　拓実,1,0,0,0,0,0,0,.000,2,0,.2,0,0,0,0,0,0,0,0,0,0,0.00,Nipponham Fighters,
有原　航平,1,1,0,0,0,0,0,1.000,27,7,,6,1,2,0,0,8,0,0,2,2,2.57,SoftBank Hawks,
オスナ,3,0,0,2,0,0,0,.000,11,3,,2,0,0,0,0,4,0,0,0,0,0.00,SoftBank Hawks,
尾形　崇斗,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,SoftBank Hawks,
スチュワート・ジュニア,1,1,0,0,0,0,0,1.000,21,5,,4,1,1,0,0,3,0,0,2,2,3.60,SoftBank Hawks,
杉山　一樹,2,0,0,0,0,0,0,.000,6,2,,0,0,0,0,0,3,0,0,0,0,0.00,SoftBank Hawks,
ヘルナンデス,3,0,0,0,0,0,0,.000,11,3,,2,0,0,0,1,5,0,0,0,0,0.00,SoftBank Hawks,
モイネロ,1,1,0,0,0,0,0,1.000,27,6,,8,0,1,0,0,4,0,0,2,2,3.00,SoftBank Hawks,
赤星　優志,2,0,1,0,0,0,0,.000,7,2,,1,0,0,0,0,2,1,0,1,1,4.50,Yomiuri Giants,
井上　温大,1,0,0,0,0,0,0,.000,19,6,,1,1,0,0,0,6,0,0,1,1,1.50,Yomiuri Giants,
グリフィン,1,0,0,0,0,0,0,.000,18,4,,3,1,2,0,1,4,0,0,1,1,2.25,Yomiuri Giants,
ケラー,4,1,0,0,0,0,0,1.000,13,3,.2,1,0,2,0,0,4,0,0,0,0,0.00,Yomiuri Giants,
菅野　智之,2,0,2,0,0,0,0,.000,33,9,,8,1,1,0,0,6,0,0,3,3,3.00,Yomiuri Giants,
大勢,3,0,0,2,0,0,0,.000,15,3,,2,0,2,0,2,7,0,0,0,0,0.00,Yomiuri Giants,
高梨　雄平,4,0,0,0,0,0,0,.000,9,3,.1,1,0,0,0,0,3,0,0,0,0,0.00,Yomiuri Giants,
戸郷　翔征,2,0,1,0,0,0,0,.000,46,11,,12,1,1,0,0,6,0,0,4,4,3.27,Yomiuri Giants,
バルドナード,4,0,0,0,0,0,0,.000,15,3,.2,4,0,2,0,0,4,0,0,0,0,0.00,Yomiuri Giants,
船迫　大雅,3,0,0,0,0,0,0,.000,5,1,,2,0,0,0,0,0,0,0,0,0,0.00,Yomiuri Giants,
山﨑　伊織,1,1,0,0,0,0,0,1.000,24,6,.1,6,0,0,0,0,5,0,0,0,0,0.00,Yomiuri Giants,
横川　凱,1,0,0,0,0,0,0,.000,4,1,,0,0,1,0,0,2,0,0,0,0,0.00,Yomiuri Giants,
伊藤　大海,1,0,1,0,0,0,0,.000,26,5,.2,10,2,0,0,0,9,0,0,4,4,6.35,Nipponham Fighters,
加藤　貴之,1,0,1,0,0,0,0,.000,9,1,.2,4,1,0,0,0,0,0,0,4,4,21.60,Nipponham Fighters,
齋藤　友貴哉,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,2,0,0,0,0,0.00,Nipponham Fighters,
杉浦　稔大,1,0,0,0,0,0,0,.000,5,1,.1,1,1,0,0,0,1,0,0,1,1,6.75,Nipponham Fighters,
田中　正義,1,0,0,0,0,0,0,.000,4,1,,1,0,0,0,0,1,0,0,0,0,0.00,Nipponham Fighters,
生田目　翼,2,0,0,0,0,0,0,.000,11,2,.2,3,0,0,0,0,4,0,0,0,0,0.00,Nipponham Fighters,
