Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
石井　大智,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
糸原　健斗,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,Hanshin Tigers,
梅野　隆太郎,2,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.200,.200,.200,Hanshin Tigers,
大山　悠輔,2,8,8,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,.250,.250,.250,Hanshin Tigers,
岡留　英貴,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
小幡　竜平,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
木浪　聖也,2,6,4,0,1,0,0,0,1,1,0,0,0,0,2,0,0,2,0,.250,.250,.500,Hanshin Tigers,
桐敷　拓馬,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
才木　浩人,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
坂本　誠志郎,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,.000,.000,.333,Hanshin Tigers,
佐藤　輝明,2,8,8,0,1,1,0,0,2,0,0,0,0,0,0,0,0,5,0,.125,.250,.125,Hanshin Tigers,
島田　海吏,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,1.000,Hanshin Tigers,
島本　浩也,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
髙橋　遥人,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
近本　光司,2,9,9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.111,.111,.111,Hanshin Tigers,
富田　蓮,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
中野　拓夢,2,9,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.111,.111,.111,Hanshin Tigers,
原口　文仁,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,.500,2.000,.500,Hanshin Tigers,
前川　右京,2,8,7,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,.143,.143,.250,Hanshin Tigers,
村上　頌樹,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
森下　翔太,2,9,8,1,5,0,0,1,8,2,0,0,0,0,1,0,0,1,0,.625,1.000,.667,Hanshin Tigers,
渡邉　諒,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
東　克樹,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,DeNA BayStars,
伊勢　大夢,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
伊藤　光,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.000,.000,.250,DeNA BayStars,
ウェンデルケン,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
蝦名　達夫,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
オースティン,2,8,7,0,1,1,0,0,2,2,0,0,0,0,1,0,0,3,0,.143,.286,.250,DeNA BayStars,
梶原　昂希,2,11,11,1,2,1,0,0,3,0,0,1,0,0,0,0,0,1,0,.182,.273,.182,DeNA BayStars,
神里　和毅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
上茶谷　大河,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
桑原　将志,2,9,8,2,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,.125,.125,.222,DeNA BayStars,
坂本　裕哉,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
佐々木　千隼,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
佐野　恵太,2,10,9,2,4,2,0,1,9,3,0,0,0,0,1,0,0,1,0,.444,1.000,.500,DeNA BayStars,
ジャクソン,1,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,DeNA BayStars,
柴田　竜拓,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,DeNA BayStars,
筒香　嘉智,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,DeNA BayStars,
戸柱　恭孝,1,5,5,1,2,2,0,0,4,5,0,0,0,0,0,0,0,0,0,.400,.800,.400,DeNA BayStars,
林　琢真,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
フォード,2,3,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1,0,.333,1.333,.333,DeNA BayStars,
堀岡　隼人,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
牧　秀悟,2,10,8,3,5,1,0,0,6,1,0,0,0,0,1,0,1,1,0,.625,.750,.700,DeNA BayStars,
松尾　汐恩,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,DeNA BayStars,
宮﨑　敏郎,2,8,7,1,2,1,0,0,3,0,0,0,0,0,1,1,0,0,0,.286,.429,.375,DeNA BayStars,
森　敬斗,2,9,8,2,4,0,0,0,4,0,0,0,0,0,1,1,0,0,0,.500,.500,.556,DeNA BayStars,
森原　康平,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
山﨑　康晃,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
愛斗,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Lotte Marines,
石川　慎吾,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Lotte Marines,
岡　大海,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Lotte Marines,
小川　龍成,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Lotte Marines,
荻野　貴司,2,8,6,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,.167,.167,.250,Lotte Marines,
小島　和哉,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Lotte Marines,
角中　勝也,2,6,4,1,1,0,0,1,4,1,0,0,0,0,2,0,0,0,0,.250,1.000,.500,Lotte Marines,
菊地　吏玖,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Lotte Marines,
佐々木　朗希,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Lotte Marines,
佐藤　都志也,3,12,11,1,2,1,0,0,3,0,0,0,0,0,1,0,0,2,0,.182,.273,.250,Lotte Marines,
澤村　拓一,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Lotte Marines,
鈴木　昭汰,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Lotte Marines,
ソト,3,12,10,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,.000,.000,.167,Lotte Marines,
種市　篤暉,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Lotte Marines,
茶谷　健太,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Lotte Marines,
友杉　篤輝,3,12,11,0,3,1,0,0,4,1,0,1,1,0,0,0,0,0,0,.273,.364,.273,Lotte Marines,
中村　奨吾,2,8,7,2,2,0,0,1,5,1,0,0,0,0,0,0,1,2,0,.286,.714,.375,Lotte Marines,
藤岡　裕大,3,12,11,0,3,0,0,0,3,0,0,0,1,0,0,0,0,2,0,.273,.273,.273,Lotte Marines,
藤原　恭大,3,10,9,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,.333,.333,.333,Lotte Marines,
ポランコ,3,12,12,1,2,0,0,1,5,1,0,0,0,0,0,0,0,4,0,.167,.417,.167,Lotte Marines,
益田　直也,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Lotte Marines,
安田　尚憲,1,4,4,1,2,0,0,1,5,1,0,0,0,0,0,0,0,1,0,.500,1.250,.500,Lotte Marines,
横山　陸人,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Lotte Marines,
淺間　大基,3,9,8,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,.125,.125,.222,Nipponham Fighters,
池田　隆英,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Nipponham Fighters,
江越　大賀,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Nipponham Fighters,
