Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
島内　颯太郎,2,0,0,0,0,0,0,.000,8,2,,1,0,1,0,0,2,0,0,0,0,0.00,Hiroshima Carp,
床田　寛樹,1,0,1,0,0,0,0,.000,25,6,,5,0,3,0,0,2,0,0,3,3,4.50,Hiroshima Carp,
中﨑　翔太,1,0,0,0,0,0,0,.000,4,1,,0,0,1,0,0,2,0,0,0,0,0.00,Hiroshima Carp,
矢崎　拓也,1,0,0,0,0,0,0,.000,5,0,.1,1,0,3,1,0,0,0,0,1,1,27.00,Hiroshima Carp,
石井　大智,3,0,0,0,0,0,0,.000,6,1,.2,1,0,0,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
伊藤　将司,1,0,0,0,0,0,0,.000,26,7,,5,0,2,1,0,3,0,0,1,1,1.29,Hanshin Tigers,
岩崎　優,3,1,0,2,0,0,0,1.000,12,3,,2,0,1,0,0,6,0,0,0,0,0.00,Hanshin Tigers,
岩貞　祐太,1,0,0,0,0,0,0,.000,2,0,.1,1,0,0,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
大竹　耕太郎,1,0,0,0,0,0,0,.000,24,5,,7,0,1,0,0,3,0,0,2,2,3.60,Hanshin Tigers,
桐敷　拓馬,2,1,0,0,0,0,0,1.000,10,3,,0,0,1,0,0,6,0,0,0,0,0.00,Hanshin Tigers,
島本　浩也,3,0,0,0,0,0,0,.000,4,0,.2,2,0,0,0,0,0,0,0,0,0,0.00,Hanshin Tigers,
ブルワー,1,0,0,0,0,0,0,.000,1,0,.1,0,0,0,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
村上　頌樹,1,1,0,0,0,0,0,1.000,23,6,,3,0,3,0,0,6,0,0,1,1,1.50,Hanshin Tigers,
東妻　勇輔,3,0,0,0,0,0,0,.000,11,2,.1,4,0,0,0,0,1,1,0,1,1,3.86,Lotte Marines,
国吉　佑樹,1,0,0,0,0,0,0,.000,9,2,,2,0,1,0,0,1,0,0,0,0,0.00,Lotte Marines,
坂本　光士郎,3,0,0,0,0,0,0,.000,8,2,.1,0,0,1,0,0,2,0,0,0,0,0.00,Lotte Marines,
澤田　圭佑,2,0,0,0,0,0,0,.000,9,2,,2,1,0,0,1,1,0,0,2,2,9.00,Lotte Marines,
澤村　拓一,1,0,0,0,0,0,0,.000,6,1,,1,0,2,0,0,1,0,0,0,0,0.00,Lotte Marines,
鈴木　昭汰,1,0,0,0,0,0,0,.000,5,1,,2,0,0,0,0,1,0,0,1,1,9.00,Lotte Marines,
種市　篤暉,1,0,1,0,0,0,0,.000,12,3,,2,1,1,0,0,4,0,0,2,2,6.00,Lotte Marines,
東條　大樹,2,1,0,0,0,0,0,1.000,8,1,.2,3,0,0,0,0,2,0,0,0,0,0.00,Lotte Marines,
中村　稔弥,1,0,1,0,0,0,0,.000,3,+,,1,0,2,0,0,0,0,0,3,3,----,Lotte Marines,
中森　俊介,2,0,0,0,0,0,0,.000,16,4,,1,0,2,0,0,4,0,0,0,0,0.00,Lotte Marines,
西村　天裕,2,0,1,0,0,0,0,.000,10,1,.2,4,0,1,0,0,2,0,0,2,2,10.80,Lotte Marines,
益田　直也,1,0,0,1,0,0,0,.000,4,1,,0,0,1,0,0,2,0,0,0,0,0.00,Lotte Marines,
美馬　学,1,0,0,0,0,0,0,.000,18,4,,4,0,1,0,1,0,0,0,3,3,6.75,Lotte Marines,
メルセデス,1,0,0,0,0,0,0,.000,23,5,,7,0,1,0,0,4,0,0,3,3,5.40,Lotte Marines,
森　遼大朗,1,0,0,0,0,0,0,.000,8,2,,2,0,0,0,0,1,0,0,1,1,4.50,Lotte Marines,
東　晃平,1,0,0,0,0,0,0,.000,20,5,,4,0,1,0,0,4,0,0,0,0,0.00,ORIX Buffaloes,
阿部　翔太,1,0,0,0,0,0,0,.000,4,1,,1,0,0,0,0,1,0,0,0,0,0.00,ORIX Buffaloes,
宇田川　優希,2,1,0,0,0,0,0,1.000,6,2,,0,0,0,0,0,2,0,0,0,0,0.00,ORIX Buffaloes,
小木田　敦也,2,0,0,0,0,0,0,.000,9,2,,1,0,2,0,0,1,0,0,0,0,0.00,ORIX Buffaloes,
田嶋　大樹,1,0,0,0,0,0,0,.000,24,6,,4,0,4,0,0,2,0,0,4,4,6.00,ORIX Buffaloes,
平野　佳寿,3,0,0,3,0,0,0,.000,12,3,,2,1,1,0,0,1,0,0,1,1,3.00,ORIX Buffaloes,
宮城　大弥,1,1,0,0,0,0,0,1.000,22,6,,4,0,0,0,0,4,0,0,0,0,0.00,ORIX Buffaloes,
山岡　泰輔,2,0,1,0,0,0,0,.000,9,2,,1,0,1,0,1,0,0,0,2,2,9.00,ORIX Buffaloes,
山﨑　颯一郎,2,0,0,0,0,0,0,.000,8,2,,2,1,0,0,0,3,0,0,1,1,4.50,ORIX Buffaloes,
山本　由伸,1,1,0,0,0,0,0,1.000,32,7,,10,0,2,0,1,9,0,0,5,5,6.43,ORIX Buffaloes,
青柳　晃洋,1,0,0,0,0,0,0,.000,19,4,.2,4,0,1,0,0,3,0,0,0,0,0.00,Hanshin Tigers,
石井　大智,3,0,0,0,0,0,0,.000,11,2,.1,3,0,1,0,0,3,0,0,0,0,0.00,Hanshin Tigers,
伊藤　将司,2,1,1,0,0,0,0,.500,30,8,,6,1,0,0,0,4,0,0,4,2,2.25,Hanshin Tigers,
岩崎　優,3,1,0,0,0,0,0,1.000,10,2,.1,3,1,0,0,0,1,0,0,1,1,3.86,Hanshin Tigers,
岩貞　祐太,2,0,0,0,0,0,0,.000,8,2,,2,0,0,0,0,3,0,0,0,0,0.00,Hanshin Tigers,
大竹　耕太郎,1,0,0,0,0,0,0,.000,21,5,,6,1,0,0,0,4,0,0,1,1,1.80,Hanshin Tigers,
岡留　英貴,1,0,0,0,0,0,0,.000,5,0,.2,2,0,1,0,0,0,0,0,3,3,40.50,Hanshin Tigers,
加治屋　蓮,2,0,0,0,0,0,0,.000,10,2,,1,0,0,0,1,1,0,0,1,0,0.00,Hanshin Tigers,
桐敷　拓馬,3,0,0,0,0,0,0,.000,14,3,,5,0,1,0,0,1,0,0,2,1,3.00,Hanshin Tigers,
才木　浩人,1,0,0,0,0,0,0,.000,22,5,,5,0,3,0,0,6,0,0,1,1,1.80,Hanshin Tigers,
島本　浩也,4,0,0,0,0,0,0,.000,6,1,.1,1,0,0,0,0,0,0,0,0,0,0.00,Hanshin Tigers,
西　純矢,1,0,0,0,0,0,0,.000,7,1,.1,1,0,1,0,0,1,0,0,1,0,0.00,Hanshin Tigers,
西　勇輝,2,0,1,0,0,0,0,.000,31,6,.2,8,1,3,0,0,4,0,0,5,5,6.75,Hanshin Tigers,
ビーズリー,1,0,0,0,0,0,0,.000,10,2,.1,2,0,1,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
ブルワー,1,0,0,0,0,0,0,.000,5,1,,1,0,1,0,0,0,0,0,1,1,9.00,Hanshin Tigers,
村上　頌樹,2,1,1,0,0,0,0,.500,46,12,,8,1,3,0,1,7,0,0,4,4,3.00,Hanshin Tigers,
湯浅　京己,2,1,0,0,0,0,0,1.000,4,1,.1,0,0,0,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
東　晃平,2,1,0,0,0,0,0,1.000,25,6,,7,0,1,0,0,4,0,0,2,2,3.00,ORIX Buffaloes,
阿部　翔太,3,0,0,0,0,0,0,.000,13,2,.2,3,0,2,0,0,1,0,0,2,2,6.75,ORIX Buffaloes,
宇田川　優希,5,0,0,0,0,0,0,.000,17,4,.1,3,0,0,0,0,6,0,0,2,2,4.15,ORIX Buffaloes,
小木田　敦也,4,0,0,0,0,0,0,.000,17,4,,3,0,0,0,0,2,0,0,0,0,0.00,ORIX Buffaloes,
田嶋　大樹,1,0,0,0,0,0,0,.000,25,7,,4,0,1,1,0,4,0,0,0,0,0.00,ORIX Buffaloes,
比嘉　幹貴,2,0,0,0,0,0,0,.000,7,1,.1,3,0,0,0,0,1,0,0,1,1,6.75,ORIX Buffaloes,
平野　佳寿,1,0,0,1,0,0,0,.000,5,1,,0,0,2,0,0,2,0,0,0,0,0.00,ORIX Buffaloes,
宮城　大弥,2,1,1,0,0,0,0,.500,42,10,.2,9,1,1,0,1,10,0,0,5,5,4.22,ORIX Buffaloes,
山岡　泰輔,2,0,0,0,0,0,0,.000,9,1,.2,3,0,2,0,0,1,0,0,3,3,16.20,ORIX Buffaloes,
山﨑　福也,1,0,0,0,0,0,0,.000,20,4,,6,0,1,0,0,5,1,0,3,2,4.50,ORIX Buffaloes,
山﨑　颯一郎,3,0,1,0,0,0,0,.000,11,2,.1,4,0,0,0,0,1,0,0,3,2,7.71,ORIX Buffaloes,
山田　修義,1,0,0,0,0,0,0,.000,2,0,.1,1,0,1,0,0,0,0,0,0,0,0.00,ORIX Buffaloes,
山本　由伸,2,1,1,0,1,0,0,.500,64,14,.2,19,1,1,0,1,21,0,0,8,8,4.91,ORIX Buffaloes,
ワゲスパック,2,0,1,0,0,0,0,.000,9,1,.1,1,0,4,2,0,3,2,0,1,1,6.75,ORIX Buffaloes,
