Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
會澤　翼,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hiroshima Carp,
秋山　翔吾,2,6,4,0,1,0,0,0,1,2,0,0,0,1,1,0,0,1,0,.250,.250,.333,Hiroshima Carp,
大道　温貴,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
菊池　涼介,2,9,8,2,3,0,0,0,3,1,0,0,1,0,0,0,0,1,0,.375,.375,.375,Hiroshima Carp,
九里　亜蓮,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
栗林　良吏,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
小園　海斗,2,9,6,1,1,0,0,0,1,0,0,0,0,0,3,3,0,1,0,.167,.167,.444,Hiroshima Carp,
坂倉　将吾,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,Hiroshima Carp,
島内　颯太郎,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
末包　昇大,2,4,4,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,.250,1.000,.250,Hiroshima Carp,
ターリー,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
田中　広輔,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.500,.500,.500,Hiroshima Carp,
デビッドソン,2,6,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,.000,.000,.333,Hiroshima Carp,
堂林　翔太,2,7,6,0,1,1,0,0,2,0,0,0,1,0,0,0,0,2,0,.167,.333,.167,Hiroshima Carp,
