Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
谷川原　健太,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,SoftBank Hawks,
津森　宥紀,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,SoftBank Hawks,
デスパイネ,4,17,17,1,4,0,0,1,7,4,0,0,0,0,0,0,0,2,1,.235,.412,.235,SoftBank Hawks,
中村　晃,4,9,9,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,.222,.222,.222,SoftBank Hawks,
野村　勇,1,3,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,.333,1.333,.333,SoftBank Hawks,
板東　湧梧,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,SoftBank Hawks,
藤井　皓哉,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,SoftBank Hawks,
牧原　大成,4,16,16,0,4,0,0,0,4,0,0,0,0,0,0,0,0,5,0,.250,.250,.250,SoftBank Hawks,
正木　智也,2,5,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,.200,.400,.200,SoftBank Hawks,
松本　裕樹,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,SoftBank Hawks,
三森　大貴,4,17,15,2,2,2,0,0,4,0,0,0,2,0,0,0,0,6,0,.133,.267,.133,SoftBank Hawks,
モイネロ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,SoftBank Hawks,
森　唯斗,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,SoftBank Hawks,
柳田　悠岐,4,17,13,1,4,1,0,0,5,1,0,0,0,0,4,0,0,5,0,.308,.385,.471,SoftBank Hawks,
柳町　達,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,SoftBank Hawks,
リチャード,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,SoftBank Hawks,
和田　毅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,SoftBank Hawks,
安達　了一,2,8,8,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,ORIX Buffaloes,
阿部　翔太,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,ORIX Buffaloes,
宇田川　優希,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,ORIX Buffaloes,
大城　滉二,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,ORIX Buffaloes,
太田　椋,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,ORIX Buffaloes,
小田　裕也,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,ORIX Buffaloes,
紅林　弘太郎,4,10,9,0,2,1,0,0,3,0,0,0,1,0,0,0,0,1,1,.222,.333,.222,ORIX Buffaloes,
黒木　優太,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,ORIX Buffaloes,
佐野　皓大,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,ORIX Buffaloes,
杉本　裕太郎,4,16,13,1,5,0,0,1,8,5,1,0,0,0,3,0,0,3,1,.385,.615,.500,ORIX Buffaloes,
田嶋　大樹,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,ORIX Buffaloes,
Ｔ－岡田,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,ORIX Buffaloes,
頓宮　裕真,3,10,7,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,.000,.000,.300,ORIX Buffaloes,
中川　圭太,4,17,15,4,6,0,0,0,6,1,0,0,0,0,2,0,0,4,0,.400,.400,.471,ORIX Buffaloes,
西野　真弘,4,12,7,0,1,1,0,0,2,2,0,0,1,1,3,0,0,1,0,.143,.286,.364,ORIX Buffaloes,
