Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
青柳　晃洋,1,1,0,0,0,0,0,1.000,22,6,,4,0,1,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
伊藤　将司,1,0,1,0,0,0,0,.000,18,5,,4,0,0,0,0,3,0,0,1,1,1.80,Hanshin Tigers,
岩崎　優,1,0,0,0,0,0,0,.000,4,0,.2,0,0,1,0,0,0,0,0,0,0,0.00,Hanshin Tigers,
岩貞　祐太,2,1,0,0,0,0,0,1.000,6,2,,0,0,0,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
ケラー,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
才木　浩人,1,0,0,0,0,0,0,.000,12,2,.1,2,1,2,0,0,2,1,0,2,2,7.71,Hanshin Tigers,
西　純矢,2,0,0,0,0,0,0,.000,15,4,,2,0,2,1,0,1,0,0,0,0,0.00,Hanshin Tigers,
浜地　真澄,2,0,0,0,0,0,0,.000,7,2,.1,1,0,1,0,0,0,0,0,0,0,0.00,Hanshin Tigers,
湯浅　京己,2,0,0,2,0,0,0,.000,11,2,.2,3,0,1,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
伊勢　大夢,3,0,0,0,0,0,0,.000,13,3,.2,0,0,2,0,0,3,0,0,0,0,0.00,DeNA BayStars,
今永　昇太,1,0,1,0,0,0,0,.000,24,5,,7,0,2,1,0,3,0,0,2,2,3.60,DeNA BayStars,
入江　大生,2,0,0,0,0,0,0,.000,10,3,,2,0,0,0,0,2,0,0,0,0,0.00,DeNA BayStars,
エスコバー,2,0,0,0,0,0,0,.000,9,2,,2,0,1,0,0,2,0,0,0,0,0.00,DeNA BayStars,
大貫　晋一,1,1,0,0,0,0,0,1.000,20,6,.1,2,0,0,0,0,10,0,0,0,0,0.00,DeNA BayStars,
濵口　遥大,1,0,1,0,0,0,0,.000,21,5,,4,1,2,0,0,5,1,0,3,3,5.40,DeNA BayStars,
山﨑　康晃,2,0,0,1,0,0,0,.000,6,2,,0,0,0,0,0,3,0,0,0,0,0.00,DeNA BayStars,
今井　達也,1,0,1,0,0,0,0,.000,18,4,,4,1,2,0,1,3,0,0,5,5,11.25,Seibu Lions,
公文　克彦,1,0,0,0,0,0,0,.000,1,0,.1,0,0,0,0,0,1,0,0,0,0,0.00,Seibu Lions,
スミス,2,0,0,0,0,0,0,.000,7,2,,0,0,0,0,0,1,0,0,0,0,0.00,Seibu Lions,
平良　海馬,1,0,0,0,0,0,0,.000,6,1,,3,0,0,0,0,2,0,0,1,1,9.00,Seibu Lions,
髙橋　光成,1,0,1,0,0,0,0,.000,26,6,,6,1,3,0,1,4,0,0,5,5,7.50,Seibu Lions,
本田　圭佑,1,0,0,0,0,0,0,.000,4,1,,1,0,0,0,0,0,0,0,0,0,0.00,Seibu Lions,
増田　達至,1,0,0,0,0,0,0,.000,5,0,.2,3,0,0,0,0,0,0,0,2,2,27.00,Seibu Lions,
水上　由伸,1,0,0,0,0,0,0,.000,4,1,,1,0,0,0,0,0,0,0,0,0,0.00,Seibu Lions,
大関　友久,1,0,0,0,0,0,0,.000,4,1,.1,0,0,0,0,0,0,0,0,0,0,0.00,SoftBank Hawks,
千賀　滉大,1,1,0,0,0,0,0,1.000,32,8,,4,1,4,1,0,11,0,0,3,2,2.25,SoftBank Hawks,
東浜　巨,1,1,0,0,0,0,0,1.000,20,5,,4,0,1,0,0,3,0,0,1,1,1.80,SoftBank Hawks,
藤井　皓哉,1,0,0,0,0,0,0,.000,4,1,,1,0,0,0,0,2,0,0,0,0,0.00,SoftBank Hawks,
松本　裕樹,1,0,0,0,0,0,0,.000,2,0,.2,0,0,0,0,0,1,0,0,0,0,0.00,SoftBank Hawks,
モイネロ,1,0,0,1,0,0,0,.000,5,1,,2,0,0,0,0,2,0,0,0,0,0.00,SoftBank Hawks,
レイ,1,0,0,0,0,0,0,.000,5,1,,1,1,0,0,0,1,0,0,1,1,9.00,SoftBank Hawks,
青柳　晃洋,1,0,1,0,0,0,0,.000,29,6,.2,3,0,4,0,1,5,0,0,4,0,0.00,Hanshin Tigers,
岩貞　祐太,1,0,0,0,0,0,0,.000,3,0,.2,0,0,1,0,0,1,0,0,1,1,13.50,Hanshin Tigers,
加治屋　蓮,2,0,0,0,0,0,0,.000,13,3,,2,1,2,0,0,2,0,0,2,2,6.00,Hanshin Tigers,
ケラー,3,0,0,0,0,0,0,.000,10,2,.1,1,0,2,0,0,3,0,0,0,0,0.00,Hanshin Tigers,
島本　浩也,2,0,0,0,0,0,0,.000,10,2,,0,0,4,1,0,2,0,0,0,0,0.00,Hanshin Tigers,
西　純矢,1,0,0,0,0,0,0,.000,12,2,,5,2,1,0,0,4,0,0,3,3,13.50,Hanshin Tigers,
西　勇輝,1,0,1,0,0,0,0,.000,20,4,,5,1,3,0,0,4,0,0,5,5,11.25,Hanshin Tigers,
浜地　真澄,1,0,0,0,0,0,0,.000,3,0,.1,1,0,1,0,0,0,0,0,1,0,0.00,Hanshin Tigers,
藤浪　晋太郎,1,0,1,0,0,0,0,.000,15,3,,2,1,3,0,0,4,1,0,2,2,6.00,Hanshin Tigers,
石山　泰稚,2,0,0,0,0,0,0,.000,7,1,.1,3,0,0,0,0,1,1,0,1,1,6.75,Yakult Swallows,
小川　泰弘,1,1,0,0,0,0,0,1.000,25,6,.2,6,0,1,0,0,6,0,0,1,1,1.35,Yakult Swallows,
木澤　尚文,1,0,0,0,0,0,0,.000,4,1,,2,0,0,0,0,0,0,0,0,0,0.00,Yakult Swallows,
久保　拓眞,1,0,0,0,0,0,0,.000,2,0,.1,0,0,1,0,0,0,0,0,0,0,0.00,Yakult Swallows,
サイスニード,1,1,0,0,0,0,0,1.000,27,5,.2,7,0,2,0,0,3,0,0,1,1,1.59,Yakult Swallows,
清水　昇,3,0,0,0,0,0,0,.000,12,3,,3,0,0,0,0,4,1,0,0,0,0.00,Yakult Swallows,
高橋　奎二,1,0,0,0,0,0,0,.000,23,5,,4,0,4,0,0,7,0,0,3,3,5.40,Yakult Swallows,
田口　麗斗,2,1,0,0,0,0,0,1.000,7,2,,2,0,0,0,0,1,0,0,0,0,0.00,Yakult Swallows,
マクガフ,2,0,0,2,0,0,0,.000,8,2,,1,0,1,0,0,2,0,0,1,1,4.50,Yakult Swallows,
石川　柊太,1,0,1,0,0,0,0,.000,19,4,.1,4,0,4,0,0,3,0,0,2,2,4.15,SoftBank Hawks,
泉　圭輔,2,0,0,0,0,0,0,.000,7,1,.1,1,0,2,0,0,0,0,0,0,0,0.00,SoftBank Hawks,
大関　友久,3,0,1,0,0,0,0,.000,18,3,.2,4,1,3,1,0,1,0,0,4,4,9.82,SoftBank Hawks,
甲斐野　央,1,0,0,0,0,0,0,.000,4,1,,1,1,1,0,0,0,0,0,1,1,9.00,SoftBank Hawks,
嘉弥真　新也,2,0,0,0,0,0,0,.000,4,1,,1,0,0,0,0,0,0,0,0,0,0.00,SoftBank Hawks,
千賀　滉大,1,1,0,0,0,0,0,1.000,21,6,,3,0,1,0,0,5,0,0,0,0,0.00,SoftBank Hawks,
津森　宥紀,2,0,0,0,0,0,0,.000,8,2,.1,1,0,0,0,0,2,0,0,0,0,0.00,SoftBank Hawks,
板東　湧梧,1,0,0,0,0,0,0,.000,15,2,.1,8,0,0,0,1,1,1,0,2,2,7.71,SoftBank Hawks,
藤井　皓哉,3,0,0,0,0,0,0,.000,13,3,,2,0,2,0,0,2,0,0,0,0,0.00,SoftBank Hawks,
松本　裕樹,2,0,0,0,0,0,0,.000,5,1,.2,0,0,0,0,0,1,0,0,0,0,0.00,SoftBank Hawks,
モイネロ,2,0,1,1,0,0,0,.000,9,1,.2,3,0,1,0,0,1,0,0,1,1,5.40,SoftBank Hawks,
森　唯斗,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,0,0,0,0,0,0.00,SoftBank Hawks,
和田　毅,1,0,0,0,0,0,0,.000,18,4,.1,3,1,1,0,0,2,0,0,2,2,4.15,SoftBank Hawks,
阿部　翔太,2,1,0,1,0,0,0,1.000,10,2,,3,0,1,0,0,1,0,0,1,1,4.50,ORIX Buffaloes,
宇田川　優希,2,0,0,0,0,0,0,.000,11,3,,1,0,1,0,0,4,0,0,0,0,0.00,ORIX Buffaloes,
