Team,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,2,4,2,0,0,213,50.0,35,6,38,29,2,1,2,21,16,2.88,4.94,4.38,1.28,91,141,121.9,-2.06,2.8%,17.8%,13.6%,4.2%,CL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,1,2,1,0,0,103,27.0,17,1,28,7,1,0,1,5,5,1.67,2.29,2.76,0.89,166,62,76.9,-0.62,1.0%,27.2%,6.8%,20.4%,CL
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,5,4,3,0,0,399,91.2,88,3,75,34,3,6,3,29,22,2.16,3.20,3.77,1.33,130,85,105.1,-1.04,0.8%,18.8%,8.5%,10.3%,CL
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,7,3,4,0,0,417,101.0,87,9,109,33,1,2,1,31,28,2.50,3.14,2.98,1.19,104,91,82.9,-0.65,2.2%,26.1%,7.9%,18.2%,PL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,3,3,2,0,0,216,51.2,43,5,38,20,2,1,1,17,16,2.79,4.11,3.97,1.22,94,117,110.5,-1.32,2.3%,17.6%,9.3%,8.3%,PL
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,0,2,0,0,0,71,16.0,18,2,11,5,0,2,0,13,13,7.31,4.67,3.95,1.44,37,129,110.2,2.65,2.8%,15.5%,7.0%,8.5%,PL
League Average,3,3,2,0,0,236,56.0,48,4,50,21,2,2,1,19,17,2.73,3.48,3.57,1.23,98,97,99.5,-0.75,1.7%,21.2%,8.9%,12.3%,
