Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
エスコバー,2.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,2.60,3.69,1.50,999,70,103,-2.60,0.0%,22.2%,11.1%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
ケラー,4.0,0.0,0.0,0.0,0.0,0.0,13.0,3.1,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00,1.90,2.49,0.90,999,54,69,-1.90,0.0%,38.5%,15.4%,23.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
サイスニード,3.0,1.0,1.0,0.0,0.0,0.0,68.0,14.1,19.0,1.0,12.0,4.0,1.0,2.0,0.0,8.0,4.0,2.51,3.59,3.62,1.60,112,95,101,-1.08,1.5%,17.6%,5.9%,11.7%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
スミス,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.10,3.37,0.00,999,58,94,-2.10,0.0%,14.3%,0.0%,14.3%,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
マクガフ,6.0,0.0,1.0,3.0,0.0,0.0,28.0,5.1,7.0,1.0,5.0,4.0,0.0,0.0,0.0,6.0,3.0,5.06,5.92,4.44,2.06,56,157,124,-0.86,3.6%,17.9%,14.3%,3.6%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
モイネロ,3.0,0.0,1.0,2.0,0.0,0.0,14.0,2.2,5.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,3.38,1.98,3.37,2.25,78,56,94,1.40,0.0%,21.4%,7.1%,14.3%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
レイ,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.00,14.10,2.80,1.00,29,400,78,-5.10,20.0%,20.0%,0.0%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
ワゲスパック,6.0,1.0,0.0,3.0,0.0,0.0,24.0,6.0,4.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00,1.10,1.88,1.00,999,32,52,-1.10,0.0%,37.5%,8.3%,29.2%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
久保　拓眞,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,6.10,6.80,2.00,999,162,189,-6.10,0.0%,0.0%,20.0%,-20.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
今井　達也,1.0,0.0,1.0,0.0,0.0,0.0,18.0,4.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,5.0,5.0,11.25,7.10,4.24,1.50,24,197,118,4.15,5.6%,16.7%,11.1%,5.6%,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
今永　昇太,1.0,0.0,1.0,0.0,0.0,0.0,24.0,5.0,7.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,3.60,3.10,4.38,1.80,77,84,122,0.50,0.0%,12.5%,8.3%,4.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
今野　龍太,2.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.00,5.44,6.47,1.00,999,144,180,-5.44,0.0%,8.3%,25.0%,-16.7%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
