Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,218,195,12,45,10,1,1,60,12,4,0,4,3,52,16,1,0,4,0.231,0.285,0.308,0.593,83,0.077,0.303,31.7%,23.9%,7.3%,0.31,CL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,98,87,3,16,2,0,1,21,2,0,0,3,0,13,8,1,0,5,0.184,0.253,0.241,0.494,50,0.057,0.205,22.4%,13.3%,8.2%,0.62,CL
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,392,334,41,79,14,1,12,131,37,6,0,7,1,96,47,2,3,7,0.237,0.335,0.392,0.727,116,0.155,0.295,39.5%,24.5%,12.0%,0.49,CL
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,428,367,34,91,11,1,6,122,28,6,1,12,2,69,40,4,7,5,0.248,0.332,0.332,0.664,107,0.084,0.289,26.9%,16.1%,9.3%,0.58,PL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,211,191,21,45,10,1,4,69,20,0,3,6,0,49,12,0,2,1,0.236,0.288,0.361,0.649,100,0.125,0.297,30.8%,23.2%,5.7%,0.24,PL
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,72,66,5,12,3,1,2,23,5,0,0,0,1,20,5,1,0,0,0.182,0.236,0.348,0.584,77,0.166,0.222,37.5%,27.8%,6.9%,0.25,PL
League Average,118,103,10,24,4,0,2,36,9,1,0,3,1,25,11,1,1,2,0.232,0.309,0.344,0.653,100,0.112,0.286,32.2%,21.2%,9.3%,0.44,
