Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League,keys
<a href=https://npb.jp/bis/eng/players/61165139.html>Ishikawa Shuta</a>,1.0,0.0,1.0,0.0,0.0,0.0,21.0,5.2,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.59,3.97,2.90,0.71,179,116,89,-2.38,4.8%,19.0%,0.0%,19.0%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('石川 柊太', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/81685155.html>Fukushima Ren</a>,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.1,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.86,9.52,4.80,1.29,75,276,147,-5.66,10.0%,20.0%,20.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('福島 蓮', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/71275134.html>Taneichi Atsuki</a>,1.0,0.0,1.0,0.0,0.0,0.0,28.0,7.0,5.0,0.0,6.0,3.0,0.0,0.0,0.0,4.0,3.0,3.86,2.66,3.73,1.14,74,77,114,1.20,0.0%,21.4%,10.7%,10.7%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('種市 篤暉', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/31835157.html>Funabasama Hiromasa</a>,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,3.09,4.80,2.00,999,93,147,-3.09,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('船迫 大雅', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/41745137.html>Sugano Tomoyuki</a>,2.0,0.0,2.0,0.0,0.0,0.0,33.0,9.0,8.0,1.0,6.0,1.0,0.0,0.0,0.0,3.0,3.0,3.00,3.53,3.28,1.00,92,106,100,-0.53,3.0%,18.2%,3.0%,15.2%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('菅野 智之', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/91595157.html>Kikuchi Riku</a>,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,-2.91,-5.20,0.00,999,-85,-159,2.91,0.0%,100.0%,0.0%,100.0%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('菊地 吏玖', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/51155155.html>Akahoshi Yuji</a>,2.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,4.50,1.09,1.94,0.50,61,33,59,3.41,0.0%,28.6%,0.0%,28.6%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('赤星 優志', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/51555157.html>Kanemura Shoma</a>,1.0,0.0,0.0,0.0,0.0,0.0,24.0,6.2,4.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.70,6.09,3.55,0.60,106,176,109,-3.39,8.3%,12.5%,0.0%,12.5%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('金村 尚真', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/71275153.html>Suzuki Shota</a>,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.09,0.80,0.75,999,3,24,-0.09,0.0%,40.0%,0.0%,40.0%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('鈴木 昭汰', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/31635155.html>Hasegawa Takehiro</a>,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,6.09,7.30,1.00,999,178,223,-6.09,0.0%,0.0%,25.0%,-25.0%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('長谷川 威展', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/91095134.html>Takanashi Yuhei</a>,4.0,0.0,0.0,0.0,0.0,0.0,9.0,3.1,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.29,1.47,0.30,999,39,45,-1.29,0.0%,33.3%,0.0%,33.3%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('高梨 雄平', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/91095136.html>Takahashi Haruto</a>,1.0,0.0,1.0,0.0,0.0,0.0,23.0,5.0,6.0,0.0,4.0,1.0,0.0,1.0,0.0,4.0,4.0,7.20,2.69,3.50,1.40,38,83,107,4.51,0.0%,17.4%,4.3%,13.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('髙橋 遥人', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/21725138.html>Saito Yukiya</a>,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.2,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.00,4.29,4.80,1.20,999,124,147,-4.29,0.0%,28.6%,28.6%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('齋藤 友貴哉', 'Nipponham Fighters')"
