Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League,keys
<a href=https://npb.jp/bis/eng/players/81085155.html>Ota Taisei</a>,3.0,0.0,0.0,2.0,0.0,0.0,15.0,3.0,2.0,0.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.00,2.42,1.47,1.33,999,73,45,-2.42,0.0%,46.7%,13.3%,33.4%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('大勢', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/01305157.html>Ohtsu Ryosuke</a>,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.1,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,54.00,60.09,8.80,12.00,5,1758,269,-6.09,20.0%,0.0%,40.0%,-40.0%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('大津 亮介', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/01305138.html>Ohnuki Shinichi</a>,3.0,1.0,1.0,0.0,0.0,0.0,57.0,13.0,17.0,2.0,14.0,3.0,0.0,0.0,0.0,8.0,7.0,4.85,3.63,2.87,1.54,59,106,88,1.22,3.5%,24.6%,5.3%,19.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('大貫 晋一', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/01505151.html>Ohzeki Tomohisa</a>,1.0,0.0,1.0,0.0,0.0,0.0,16.0,2.2,4.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,3.38,6.09,5.42,2.63,84,178,166,-2.71,0.0%,12.5%,18.8%,-6.3%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('大関 友久', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/41445116.html>Miyanishi Naoki</a>,3.0,0.0,0.0,1.0,0.0,0.0,8.0,2.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.86,7.80,3.55,0.43,75,226,109,-3.94,12.5%,12.5%,0.0%,12.5%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('宮西 尚生', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/51255157.html>Tomida Ren</a>,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,4.80,,0,,147,,100.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('富田 蓮', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/11515138.html>Ojima Kazuya</a>,1.0,0.0,0.0,0.0,0.0,0.0,24.0,6.1,5.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.42,2.77,3.97,1.11,201,81,121,-1.35,0.0%,16.7%,8.3%,8.4%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('小島 和哉', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/61365136.html>Ogata Shuto</a>,5.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,7.0,1.0,6.0,1.0,0.0,0.0,0.0,4.0,4.0,9.00,4.09,2.30,2.00,32,120,70,4.91,5.0%,30.0%,5.0%,25.0%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('尾形 崇斗', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/03105136.html>Yamamoto Takumi</a>,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,3.09,4.80,0.00,999,90,147,-3.09,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('山本 拓実', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/03305153.html>Yamasaki Iori</a>,1.0,1.0,0.0,0.0,0.0,0.0,24.0,6.1,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.51,2.72,0.95,999,46,83,-1.51,0.0%,20.8%,0.0%,20.8%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('山﨑 伊織', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/41845130.html>Yamasaki Yasuaki</a>,5.0,1.0,1.0,0.0,0.0,0.0,24.0,5.2,4.0,1.0,8.0,3.0,2.0,0.0,0.0,1.0,1.0,1.59,4.15,2.72,1.24,179,121,83,-2.56,4.2%,33.3%,12.5%,20.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('山﨑 康晃', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/21825130.html>Yamasaki Sachiya</a>,2.0,1.0,1.0,0.0,0.0,0.0,29.0,6.2,5.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,2.70,3.84,5.14,1.20,106,111,157,-1.14,0.0%,6.9%,10.3%,-3.4%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('山﨑 福也', 'Nipponham Fighters')"
