Team,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,0,2,0,0,0,85,18.0,25,2,9,6,2,2,0,13,13,6.50,4.87,4.45,1.72,42,150,136.0,1.63,2.4%,10.6%,7.1%,3.5%,CL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,10,4,6,0,0,494,124.0,88,6,122,40,8,2,2,27,23,1.67,2.77,3.14,1.03,171,81,96.0,-1.10,1.2%,24.7%,8.1%,16.6%,CL
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,2,4,2,0,0,208,54.0,41,4,49,11,0,3,1,10,10,1.67,3.01,2.97,0.96,166,91,90.9,-1.35,1.9%,23.6%,5.3%,18.3%,CL
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,1,2,1,0,0,103,26.2,21,1,30,8,0,0,1,8,6,2.03,2.23,2.66,1.09,141,65,81.5,-0.20,1.0%,29.1%,7.8%,21.4%,PL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,5,4,3,0,0,352,80.0,83,7,73,26,0,7,0,39,38,4.28,3.64,3.46,1.36,67,106,106.0,0.64,2.0%,20.7%,7.4%,13.4%,PL
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,2,4,1,0,0,213,52.0,48,10,41,11,1,1,0,21,20,3.46,4.70,3.39,1.13,83,136,103.7,-1.24,4.7%,19.2%,5.2%,14.1%,PL
League Average,3,3,2,0,0,242,59.0,51,5,54,17,2,2,1,20,18,2.75,3.33,3.27,1.15,102,99,100.0,-0.58,2.1%,22.3%,7.0%,15.3%,
