Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,75,69,4,15,1,0,2,22,4,0,0,0,0,20,5,0,1,0,0.217,0.280,0.319,0.599,88,0.102,0.277,36.0%,26.7%,6.7%,0.25,CL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,539,481,55,127,29,2,11,193,54,5,3,7,1,103,39,2,11,12,0.264,0.333,0.401,0.734,124,0.137,0.315,28.4%,19.1%,7.2%,0.38,CL
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,193,165,9,30,4,0,2,40,6,5,1,8,0,46,20,5,0,5,0.182,0.270,0.242,0.512,61,0.060,0.239,35.2%,23.8%,10.4%,0.43,CL
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,107,96,6,19,2,0,4,33,6,0,1,3,1,17,6,1,1,2,0.198,0.250,0.344,0.594,80,0.146,0.197,25.2%,15.9%,5.6%,0.35,PL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,332,302,28,72,14,0,8,110,29,3,2,7,2,80,20,3,1,5,0.238,0.286,0.364,0.650,98,0.126,0.296,32.5%,24.1%,6.0%,0.25,PL
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,209,191,14,43,4,1,3,58,14,2,3,4,1,58,12,0,1,7,0.225,0.273,0.304,0.577,76,0.079,0.305,34.9%,27.8%,5.7%,0.21,PL
League Average,121,109,10,26,4,0,2,38,9,1,1,2,0,27,8,1,1,3,0.235,0.297,0.350,0.647,100,0.115,0.300,30.6%,22.3%,6.6%,0.30,
