             Team  W  L SV CG SHO   BF    IP   H HR  SO  BB IBB HB WP   R  ER   ERA   FIP kwERA  WHIP ERA+ FIP- kwERA-   Diff   HR%     K%   BB%  K-BB% League
0  Yomiuri Giants  0  4  0  0   0  151  34.0  36  7  31  11   1  4  0  26  23  6.09  5.54  3.48  1.38   63  129  108.3   0.55  4.6%  20.5%  7.3%  13.2%     CL
1   Lotte Marines  0  2  0  0   0   71  16.0  21  4  10   4   1  0  0  10   9  5.06  6.11  3.95  1.56   72  148  123.2  -1.05  5.6%  14.1%  5.6%   8.5%     PL
2  SoftBank Hawks  6  0  3  0   0  217  54.0  36  2  62  18   0  4  1  11  11  1.83  2.77  2.77  1.00  202   66   86.4  -0.94  0.9%  28.6%  8.3%  20.3%     PL
3  League Average  2  2  1  0   0  146  35.0  31  4  34  11   1  3  0  16  14  3.60  4.11  3.22  1.20  103   98  100.5  -0.51  2.7%  23.3%  7.5%  15.8%       
