             Team   PA   AB   R   H 2B 3B  HR   TB RBI SB CS SH SF  SO  BB IBB HP GDP    AVG    OBP    SLG    OPS OPS+    ISO  BABIP   TTO%     K%   BB%  BB/K League
0  Yomiuri Giants  139  121   4  16  2  0   1   21   4  0  0  1  1  41  13   0  3   3  0.132  0.232  0.174  0.406   20  0.042  0.188  39.6%  29.5%  9.4%  0.32     CL
1   Lotte Marines   78   70   7  20  3  0   1   26   7  1  1  2  0  21   5   0  1   1  0.286  0.342  0.371  0.713  110  0.085  0.396  34.6%  26.9%  6.4%  0.24     PL
2  SoftBank Hawks  222  199  36  57  9  1  11  101  32  1  2  3  1  41  15   2  4   1  0.286  0.347  0.508  0.855  147  0.222  0.311  30.2%  18.5%  6.8%  0.37     PL
3  League Average   37   32   4   8  1  0   1   12   4  0  0  0  0   9   3   0  1   0  0.238  0.309  0.379  0.688  100  0.141  0.318  35.1%  24.3%  8.1%  0.33       
