    Player  G  PA  AB  R  H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%    BB%  BB/K            Team League
0    ウィーラー  4  16  13  1  2   0   0   1   5    3   0   0   0   1   5   2    0   0    0  0.154  0.250  0.385  0.635    80  0.231  0.125   50.0%   31.2%  12.5%  0.40  Yomiuri Giants     CL
1    グラシアル  6  24  21  6  7   0   0   1  10    3   0   0   0   0   2   3    0   0    0  0.333  0.417  0.476  0.893   161  0.143  0.333   25.0%    8.3%  12.5%  1.50  SoftBank Hawks     PL
2    デスパイネ  6  23  21  3  6   1   0   1  10    7   0   0   0   1   4   1    0   0    0  0.286  0.304  0.476  0.781   125  0.190  0.294   26.1%   17.4%   4.3%  0.25  SoftBank Hawks     PL
3    上林　誠知  6   2   2  1  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000    0.0%    0.0%   0.0%        SoftBank Hawks     PL
4    中島　宏之  4  15  11  1  2   0   0   0   2    0   0   0   0   0   5   1    0   3    1  0.182  0.400  0.182  0.582    75  0.000  0.333   40.0%   33.3%   6.7%  0.20  Yomiuri Giants     CL
5    中村　奨吾  2   9   8  1  2   0   0   0   2    1   0   0   0   0   3   0    0   1    0  0.250  0.333  0.250  0.583    75  0.000  0.400   33.3%   33.3%   0.0%  0.00   Lotte Marines     PL
6     中村　晃  6  24  23  4  8   1   0   3  18    8   0   0   0   0   3   1    0   0    0  0.348  0.375  0.783  1.158   228  0.435  0.294   29.2%   12.5%   4.2%  0.33  SoftBank Hawks     PL
7     丸　佳浩  4  16  15  0  2   0   0   0   2    0   0   0   0   0   2   1    0   0    1  0.133  0.188  0.133  0.321    -4  0.000  0.154   18.8%   12.5%   6.2%  0.50  Yomiuri Giants     CL
8    亀井　善行  4   9   9  0  0   0   0   0   0    0   0   0   0   0   1   0    0   0    1  0.000  0.000  0.000  0.000   -98  0.000  0.000   11.1%   11.1%   0.0%  0.00  Yomiuri Giants     CL
9    井上　晴哉  2   5   5  0  0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000  0.000   20.0%   20.0%   0.0%  0.00   Lotte Marines     PL
10  佐藤　都志也  1   1   1  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000  0.000    0.0%    0.0%   0.0%         Lotte Marines     PL
11   吉川　尚輝  4  10  10  0  1   0   0   0   1    0   0   0   0   0   1   0    0   0    0  0.100  0.100  0.100  0.200   -40  0.000  0.111   10.0%   10.0%   0.0%  0.00  Yomiuri Giants     CL
12   周東　佑京  6  27  24  3  3   1   1   0   6    1   1   1   0   0   7   1    0   2    0  0.125  0.222  0.250  0.472    38  0.125  0.176   29.6%   25.9%   3.7%  0.14  SoftBank Hawks     PL
13   坂本　勇人  4  16  14  0  3   1   0   0   4    1   0   0   0   0   7   2    0   0    0  0.214  0.312  0.286  0.598    74  0.071  0.429   56.2%   43.8%  12.5%  0.29  Yomiuri Giants     CL
14   増田　大輝  1   2   2  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%   0.0%        Yomiuri Giants     CL
15   大城　卓三  4   9   9  0  1   0   0   0   1    0   0   0   0   0   4   0    0   0    0  0.111  0.111  0.111  0.222   -34  0.000  0.200   44.4%   44.4%   0.0%  0.00  Yomiuri Giants     CL
